Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1720,1720,40,40,40
2,920,2640,20,60,30
3,850,3490,22,82,27.3333
4,1070,4560,23,105,26.25
5,940,5500,22,127,25.4
6,1020,6520,23,150,25
7,910,7430,21,171,24.4286
8,1060,8490,25,196,24.5
9,910,9400,21,217,24.1111
10,840,10240,22,239,23.9
11,720,10960,21,260,23.6364
12,1030,11990,19,279,23.25
13,970,12960,21,300,23.0769
14,920,13880,23,323,23.0714
15,830,14710,22,345,23
16,670,15380,24,369,23.0625
17,1060,16440,22,391,23
18,1060,17500,22,413,22.9444
19,1190,18690,24,437,23
20,1370,20060,19,456,22.8
21,1060,21120,24,480,22.8571
22,1040,22160,22,502,22.8182
23,670,22830,22,524,22.7826
24,1030,23860,23,547,22.7917
25,660,24520,23,570,22.8
26,1200,25720,24,594,22.8462
27,1000,26720,22,616,22.8148
28,1200,27920,22,638,22.7857
29,1090,29010,26,664,22.8966
30,1010,30020,20,684,22.8
31,1020,31040,22,706,22.7742
32,1020,32060,22,728,22.75
33,1010,33070,22,750,22.7273
34,1090,34160,24,774,22.7647
35,820,34980,22,796,22.7429
36,670,35650,22,818,22.7222
37,790,36440,25,843,22.7838
38,1140,37580,25,868,22.8421
39,1040,38620,26,894,22.9231
40,1360,39980,22,916,22.9
41,840,40820,20,936,22.8293
42,870,41690,22,958,22.8095
43,810,42500,22,980,22.7907
44,890,43390,19,999,22.7045
45,760,44150,24,1023,22.7333
46,990,45140,22,1045,22.7174
47,860,46000,23,1068,22.7234
48,840,46840,24,1092,22.75
49,1000,47840,21,1113,22.7143
50,850,48690,25,1138,22.76
51,1020,49710,22,1160,22.7451
52,1090,50800,22,1182,22.7308
53,760,51560,21,1203,22.6981
54,1180,52740,23,1226,22.7037
55,880,53620,22,1248,22.6909
56,890,54510,21,1269,22.6607
57,830,55340,20,1289,22.614
58,970,56310,23,1312,22.6207
59,640,56950,19,1331,22.5593
60,960,57910,22,1353,22.55
61,1470,59380,23,1376,22.5574
62,1030,60410,22,1398,22.5484
63,910,61320,21,1419,22.5238
64,1220,62540,24,1443,22.5469
65,1030,63570,24,1467,22.5692
66,930,64500,22,1489,22.5606
67,950,65450,24,1513,22.5821
68,930,66380,22,1535,22.5735
69,1180,67560,25,1560,22.6087
70,1110,68670,22,1582,22.6
71,690,69360,23,1605,22.6056
72,1280,70640,22,1627,22.5972
73,830,71470,21,1648,22.5753
74,1000,72470,22,1670,22.5676
75,790,73260,19,1689,22.52
76,780,74040,23,1712,22.5263
77,1360,75400,22,1734,22.5195
78,1260,76660,22,1756,22.5128
79,1140,77800,22,1778,22.5063
80,1120,78920,24,1802,22.525
81,1250,80170,21,1823,22.5062
82,810,80980,22,1845,22.5
83,1030,82010,19,1864,22.4578
84,640,82650,22,1886,22.4524
85,910,83560,20,1906,22.4235
86,790,84350,24,1930,22.4419
87,1100,85450,22,1952,22.4368
88,570,86020,21,1973,22.4205
89,930,86950,27,2000,22.4719
90,940,87890,19,2019,22.4333
91,810,88700,21,2040,22.4176
92,950,89650,23,2063,22.4239
93,1250,90900,21,2084,22.4086
94,1140,92040,21,2105,22.3936
95,990,93030,22,2127,22.3895
96,1040,94070,22,2149,22.3854
97,940,95010,21,2170,22.3711
98,560,95570,19,2189,22.3367
99,1090,96660,24,2213,22.3535
100,1220,97880,18,2231,22.31
101,1000,98880,22,2253,22.3069
102,710,99590,19,2272,22.2745
103,870,100460,21,2293,22.2621
104,770,101230,20,2313,22.2404
105,460,101690,22,2335,22.2381
106,670,102360,18,2353,22.1981
107,940,103300,19,2372,22.1682
108,1040,104340,18,2390,22.1296
109,1100,105440,22,2412,22.1284
110,870,106310,20,2432,22.1091
111,690,107000,17,2449,22.0631
112,570,107570,17,2466,22.0179
113,660,108230,19,2485,21.9912
114,590,108820,18,2503,21.9561
115,740,109560,18,2521,21.9217
116,690,110250,13,2534,21.8448
117,940,111190,18,2552,21.812
118,450,111640,16,2568,21.7627
119,710,112350,18,2586,21.7311
120,640,112990,19,2605,21.7083
121,590,113580,17,2622,21.6694
122,590,114170,17,2639,21.6311
123,680,114850,17,2656,21.5935
124,1050,115900,19,2675,21.5726
125,950,116850,18,2693,21.544
126,460,117310,15,2708,21.4921
127,850,118160,17,2725,21.4567
128,640,118800,15,2740,21.4062
129,680,119480,16,2756,21.3643
130,770,120250,16,2772,21.3231
131,270,120520,14,2786,21.2672
132,550,121070,14,2800,21.2121
133,500,121570,14,2814,21.1579
134,710,122280,13,2827,21.097
135,700,122980,17,2844,21.0667
136,790,123770,17,2861,21.0368
137,310,124080,14,2875,20.9854
138,650,124730,14,2889,20.9348
139,860,125590,17,2906,20.9065
140,900,126490,14,2920,20.8571
141,800,127290,13,2933,20.8014
142,690,127980,12,2945,20.7394
143,610,128590,13,2958,20.6853
144,680,129270,12,2970,20.625
145,740,130010,15,2985,20.5862
146,310,130320,9,2994,20.5068
147,640,130960,14,3008,20.4626
148,280,131240,12,3020,20.4054
149,830,132070,15,3035,20.3691
150,500,132570,12,3047,20.3133
151,350,132920,12,3059,20.2583
152,390,133310,8,3067,20.1776
153,270,133580,6,3073,20.085
154,310,133890,10,3083,20.0195
155,610,134500,13,3096,19.9742
156,670,135170,10,3106,19.9103
157,350,135520,7,3113,19.828
158,310,135830,9,3122,19.7595
159,370,136200,7,3129,19.6792
160,370,136570,8,3137,19.6062
161,390,136960,10,3147,19.5466
162,180,137140,6,3153,19.463
163,390,137530,8,3161,19.3926
164,390,137920,8,3169,19.3232
165,290,138210,8,3177,19.2545
166,280,138490,8,3185,19.1867
167,380,138870,7,3192,19.1138
168,240,139110,5,3197,19.0298
169,540,139650,8,3205,18.9645
170,420,140070,6,3211,18.8882
171,480,140550,9,3220,18.8304
172,250,140800,6,3226,18.7558
173,420,141220,5,3231,18.6763
174,200,141420,2,3233,18.5805
175,240,141660,5,3238,18.5029
176,260,141920,6,3244,18.4318
177,160,142080,5,3249,18.3559
178,50,142130,4,3253,18.2753
179,230,142360,4,3257,18.1955
180,230,142590,4,3261,18.1167
181,150,142740,4,3265,18.0387
182,210,142950,3,3268,17.956
183,150,143100,4,3272,17.8798
184,50,143150,4,3276,17.8043
185,10,143160,1,3277,17.7135
186,100,143260,1,3278,17.6237
187,100,143360,1,3279,17.5348
188,0,143360,0,3279,17.4415
189,10,143370,1,3280,17.3545
190,150,143520,4,3284,17.2842
191,120,143640,3,3287,17.2094
192,130,143770,3,3290,17.1354
193,0,143770,0,3290,17.0466
194,0,143770,0,3290,16.9588
195,0,143770,0,3290,16.8718
196,220,143990,3,3293,16.801
197,0,143990,0,3293,16.7157
198,0,143990,0,3293,16.6313
199,10,144000,1,3294,16.5528
200,200,144200,2,3296,16.48
201,0,144200,0,3296,16.398
202,0,144200,0,3296,16.3168
203,0,144200,0,3296,16.2365
204,20,144220,2,3298,16.1667
205,0,144220,0,3298,16.0878
206,210,144430,3,3301,16.0243
207,0,144430,0,3301,15.9469
208,10,144440,1,3302,15.875
209,10,144450,1,3303,15.8038
210,120,144570,2,3305,15.7381
211,150,144720,5,3310,15.6872
212,100,144820,1,3311,15.6179
213,0,144820,0,3311,15.5446
214,120,144940,2,3313,15.4813
215,70,145010,4,3317,15.4279
216,240,145250,4,3321,15.375
217,30,145280,3,3324,15.318
218,140,145420,4,3328,15.2661
219,230,145650,4,3332,15.2146
220,50,145700,4,3336,15.1636
221,150,145850,4,3340,15.1131
222,320,146170,4,3344,15.0631
223,60,146230,4,3348,15.0135
224,220,146450,4,3352,14.9643
225,150,146600,5,3357,14.92
226,250,146850,5,3362,14.8761
227,420,147270,5,3367,14.8326
228,350,147620,6,3373,14.7939
229,290,147910,7,3380,14.7598
230,360,148270,6,3386,14.7217
231,330,148600,6,3392,14.684
232,270,148870,6,3398,14.6466
233,300,149170,9,3407,14.6223
234,150,149320,5,3412,14.5812
235,560,149880,8,3420,14.5532
236,210,150090,8,3428,14.5254
237,680,150770,11,3439,14.5105
238,190,150960,6,3445,14.4748
239,300,151260,8,3453,14.4477
240,500,151760,10,3463,14.4292
241,360,152120,6,3469,14.3942
242,440,152560,7,3476,14.3636
243,300,152860,8,3484,14.3374
244,320,153180,10,3494,14.3197
245,220,153400,9,3503,14.298
246,430,153830,11,3514,14.2846
247,300,154130,10,3524,14.2672
248,490,154620,12,3536,14.2581
249,420,155040,12,3548,14.249
250,300,155340,8,3556,14.224
251,400,155740,12,3568,14.2151
252,390,156130,10,3578,14.1984
253,350,156480,12,3590,14.1897
254,550,157030,13,3603,14.185
255,390,157420,9,3612,14.1647
256,460,157880,12,3624,14.1562
257,610,158490,12,3636,14.1479
258,430,158920,12,3648,14.1395
259,890,159810,14,3662,14.139
260,700,160510,13,3675,14.1346
261,450,160960,13,3688,14.1303
262,550,161510,14,3702,14.1298
263,770,162280,16,3718,14.1369
264,440,162720,13,3731,14.1326
265,550,163270,14,3745,14.1321
266,590,163860,11,3756,14.1203
267,630,164490,15,3771,14.1236
268,710,165200,14,3785,14.1231
269,930,166130,16,3801,14.1301
270,910,167040,16,3817,14.137
271,820,167860,15,3832,14.1402
272,750,168610,16,3848,14.1471
273,930,169540,18,3866,14.1612
274,480,170020,16,3882,14.1679
275,490,170510,16,3898,14.1745
276,530,171040,17,3915,14.1848
277,700,171740,18,3933,14.1986
278,760,172500,16,3949,14.205
279,630,173130,19,3968,14.2222
280,840,173970,20,3988,14.2429
281,770,174740,22,4010,14.2705
282,1030,175770,18,4028,14.2837
283,690,176460,18,4046,14.2968
284,670,177130,17,4063,14.3063
285,580,177710,17,4080,14.3158
286,850,178560,17,4097,14.3252
287,1110,179670,18,4115,14.338
288,580,180250,17,4132,14.3472
289,660,180910,18,4150,14.3599
290,930,181840,21,4171,14.3828
291,690,182530,18,4189,14.3952
292,1070,183600,20,4209,14.4144
293,1280,184880,17,4226,14.4232
294,480,185360,15,4241,14.4252
295,920,186280,22,4263,14.4508
296,1180,187460,20,4283,14.4696
297,830,188290,21,4304,14.4916
298,1230,189520,20,4324,14.5101
299,1400,190920,24,4348,14.5418
300,550,191470,19,4367,14.5567
301,890,192360,21,4388,14.5781
302,1100,193460,23,4411,14.606
303,1340,194800,20,4431,14.6238
304,1080,195880,21,4452,14.6447
305,580,196460,18,4470,14.6557
306,600,197060,20,4490,14.6732
307,820,197880,21,4511,14.6938
308,1010,198890,21,4532,14.7143
309,670,199560,18,4550,14.7249
310,1000,200560,23,4573,14.7516
311,1110,201670,24,4597,14.7814
312,1000,202670,23,4620,14.8077
313,1010,203680,22,4642,14.8307
314,1060,204740,22,4664,14.8535
315,950,205690,22,4686,14.8762
316,980,206670,26,4712,14.9114
317,970,207640,19,4731,14.9243
318,710,208350,25,4756,14.956
319,730,209080,21,4777,14.9749
320,950,210030,22,4799,14.9969
321,810,210840,23,4822,15.0218
322,1190,212030,23,4845,15.0466
323,920,212950,22,4867,15.0681
324,790,213740,19,4886,15.0802
325,860,214600,22,4908,15.1015
326,1160,215760,21,4929,15.1196
327,850,216610,22,4951,15.1407
328,740,217350,22,4973,15.1616
329,710,218060,20,4993,15.1763
330,1010,219070,22,5015,15.197
331,1050,220120,22,5037,15.2175
332,740,220860,22,5059,15.238
333,660,221520,22,5081,15.2583
334,700,222220,22,5103,15.2784
335,600,222820,22,5125,15.2985
336,1090,223910,22,5147,15.3185
337,920,224830,21,5168,15.3353
338,1010,225840,22,5190,15.355
339,380,226220,22,5212,15.3746
340,910,227130,22,5234,15.3941
341,1230,228360,20,5254,15.4076
342,1130,229490,25,5279,15.4357
343,920,230410,22,5301,15.4548
344,840,231250,23,5324,15.4767
345,940,232190,22,5346,15.4957
346,980,233170,20,5366,15.5087
347,930,234100,23,5389,15.5303
348,920,235020,23,5412,15.5517
349,1070,236090,22,5434,15.5702
350,1110,237200,28,5462,15.6057
351,790,237990,22,5484,15.6239
352,700,238690,22,5506,15.642
353,920,239610,22,5528,15.6601
354,940,240550,22,5550,15.678
355,650,241200,22,5572,15.6958
356,640,241840,22,5594,15.7135
357,580,242420,22,5616,15.7311
358,1350,243770,22,5638,15.7486
359,730,244500,20,5658,15.7604
360,1090,245590,22,5680,15.7778
361,770,246360,24,5704,15.8006
362,880,247240,19,5723,15.8094
363,1250,248490,26,5749,15.8375
364,1100,249590,24,5773,15.8599
365,980,250570,25,5798,15.8849
366,800,251370,20,5818,15.8962
367,1290,252660,24,5842,15.9183
368,1000,253660,20,5862,15.9293
369,600,254260,22,5884,15.9458
370,1100,255360,22,5906,15.9622
371,740,256100,24,5930,15.9838
372,980,257080,19,5949,15.9919
373,520,257600,18,5967,15.9973
374,1160,258760,21,5988,16.0107
375,1040,259800,24,6012,16.032
376,920,260720,22,6034,16.0479
377,890,261610,20,6054,16.0584
378,970,262580,24,6078,16.0794
379,890,263470,19,6097,16.0871
380,850,264320,22,6119,16.1026
381,750,265070,21,6140,16.1155
382,1010,266080,22,6162,16.1309
383,700,266780,25,6187,16.154
384,1150,267930,25,6212,16.1771
385,1020,268950,23,6235,16.1948
386,930,269880,22,6257,16.2098
387,840,270720,22,6279,16.2248
388,740,271460,22,6301,16.2397
389,990,272450,22,6323,16.2545
390,1070,273520,21,6344,16.2667
391,1080,274600,22,6366,16.2813
392,1030,275630,22,6388,16.2959
393,1370,277000,22,6410,16.3104
394,860,277860,21,6431,16.3223
395,1140,279000,19,6450,16.3291
396,910,279910,21,6471,16.3409
397,1090,281000,20,6491,16.3501
398,1070,282070,21,6512,16.3618
399,770,282840,21,6533,16.3734
400,1460,284300,22,6555,16.3875
401,650,284950,19,6574,16.394
402,770,285720,24,6598,16.4129
403,960,286680,19,6617,16.4194
404,1120,287800,20,6637,16.4282
405,750,288550,21,6658,16.4395
406,960,289510,19,6677,16.4458
407,590,290100,22,6699,16.4595
408,720,290820,15,6714,16.4559
409,610,291430,18,6732,16.4597
410,680,292110,17,6749,16.461
411,990,293100,21,6770,16.472
412,950,294050,17,6787,16.4733
413,870,294920,18,6805,16.477
414,680,295600,18,6823,16.4807
415,840,296440,18,6841,16.4843
416,620,297060,19,6860,16.4904
417,750,297810,18,6878,16.494
418,450,298260,18,6896,16.4976
419,800,299060,18,6914,16.5012
420,520,299580,17,6931,16.5024
421,620,300200,17,6948,16.5036
422,1090,301290,17,6965,16.5047
423,910,302200,15,6980,16.5012
424,670,302870,16,6996,16.5
425,870,303740,19,7015,16.5059
426,760,304500,16,7031,16.5047
427,710,305210,16,7047,16.5035
428,740,305950,15,7062,16.5
429,830,306780,16,7078,16.4988
430,790,307570,18,7096,16.5023
431,370,307940,15,7111,16.4988
432,630,308570,14,7125,16.4931
433,450,309020,13,7138,16.485
434,880,309900,14,7152,16.4793
435,570,310470,15,7167,16.4759
436,560,311030,14,7181,16.4702
437,800,311830,14,7195,16.4645
438,1150,312980,15,7210,16.4612
439,650,313630,14,7224,16.4556
440,450,314080,13,7237,16.4477
441,540,314620,13,7250,16.4399
442,540,315160,12,7262,16.4299
443,700,315860,12,7274,16.4199
444,570,316430,15,7289,16.4167
445,380,316810,15,7304,16.4135
446,310,317120,9,7313,16.3969
447,280,317400,12,7325,16.387
448,550,317950,12,7337,16.3772
449,410,318360,10,7347,16.363
450,230,318590,10,7357,16.3489
451,500,319090,11,7368,16.337
452,230,319320,10,7378,16.323
453,560,319880,10,7388,16.3091
454,410,320290,10,7398,16.2952
455,230,320520,10,7408,16.2813
456,500,321020,10,7418,16.2675
457,490,321510,10,7428,16.2538
458,390,321900,9,7437,16.238
459,280,322180,8,7445,16.22
460,460,322640,8,7453,16.2022
461,450,323090,8,7461,16.1844
462,380,323470,8,7469,16.1667
463,390,323860,9,7478,16.1512
464,120,323980,8,7486,16.1336
465,290,324270,8,7494,16.1161
466,460,324730,8,7502,16.0987
467,300,325030,8,7510,16.0814
468,340,325370,5,7515,16.0577
469,50,325420,4,7519,16.032
470,370,325790,7,7526,16.0128
471,170,325960,6,7532,15.9915
472,330,326290,5,7537,15.9682
473,240,326530,5,7542,15.945
474,200,326730,7,7549,15.9262
475,120,326850,3,7552,15.8989
476,150,327000,4,7556,15.8739
477,230,327230,4,7560,15.8491
478,50,327280,4,7564,15.8243
479,230,327510,4,7568,15.7996
480,260,327770,5,7573,15.7771
481,230,328000,4,7577,15.7526
482,100,328100,1,7578,15.722
483,140,328240,3,7581,15.6957
484,220,328460,4,7585,15.6715
