Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,2110,2110,50,50,50
2,940,3050,23,73,36.5
3,1170,4220,27,100,33.3333
4,1070,5290,26,126,31.5
5,1070,6360,26,152,30.4
6,1170,7530,27,179,29.8333
7,1070,8600,26,205,29.2857
8,1170,9770,27,232,29
9,1170,10940,27,259,28.7778
10,1180,12120,28,287,28.7
11,1180,13300,28,315,28.6364
12,1200,14500,29,344,28.6667
13,1050,15550,25,369,28.3846
14,1170,16720,27,396,28.2857
15,1310,18030,31,427,28.4667
16,1180,19210,28,455,28.4375
17,1180,20390,28,483,28.4118
18,1050,21440,25,508,28.2222
19,1180,22620,28,536,28.2105
20,1200,23820,29,565,28.25
21,1310,25130,31,596,28.381
22,1200,26330,29,625,28.4091
23,1200,27530,29,654,28.4348
24,1200,28730,29,683,28.4583
25,1200,29930,29,712,28.48
26,1070,31000,26,738,28.3846
27,1200,32200,29,767,28.4074
28,1200,33400,29,796,28.4286
29,1300,34700,30,826,28.4828
30,1200,35900,29,855,28.5
31,1300,37200,30,885,28.5484
32,1300,38500,30,915,28.5938
33,1300,39800,30,945,28.6364
34,1300,41100,30,975,28.6765
35,1300,42400,30,1005,28.7143
36,1200,43600,29,1034,28.7222
37,1300,44900,30,1064,28.7568
38,1430,46330,33,1097,28.8684
39,1200,47530,29,1126,28.8718
40,1200,48730,29,1155,28.875
41,1200,49930,29,1184,28.878
42,1300,51230,30,1214,28.9048
43,1310,52540,31,1245,28.9535
44,1170,53710,27,1272,28.9091
45,1310,55020,31,1303,28.9556
46,1330,56350,32,1335,29.0217
47,1300,57650,30,1365,29.0426
48,1330,58980,32,1397,29.1042
49,1300,60280,30,1427,29.1224
50,1200,61480,29,1456,29.12
51,1170,62650,27,1483,29.0784
52,1300,63950,30,1513,29.0962
53,1200,65150,29,1542,29.0943
54,1170,66320,27,1569,29.0556
55,1300,67620,30,1599,29.0727
56,1200,68820,29,1628,29.0714
57,1200,70020,29,1657,29.0702
58,1170,71190,27,1684,29.0345
59,1200,72390,29,1713,29.0339
60,1430,73820,33,1746,29.1
61,1310,75130,31,1777,29.1311
62,1300,76430,30,1807,29.1452
63,1180,77610,28,1835,29.127
64,1300,78910,30,1865,29.1406
65,1300,80210,30,1895,29.1538
66,1300,81510,30,1925,29.1667
67,1180,82690,28,1953,29.1493
68,1300,83990,30,1983,29.1618
69,1200,85190,29,2012,29.1594
70,1200,86390,29,2041,29.1571
71,1200,87590,29,2070,29.1549
72,1200,88790,29,2099,29.1528
73,1170,89960,27,2126,29.1233
74,1200,91160,29,2155,29.1216
75,1180,92340,28,2183,29.1067
76,1170,93510,27,2210,29.0789
77,1200,94710,29,2239,29.0779
78,1330,96040,32,2271,29.1154
79,1180,97220,28,2299,29.1013
80,1070,98290,26,2325,29.0625
81,1180,99470,28,2353,29.0494
82,1180,100650,28,2381,29.0366
83,1180,101830,28,2409,29.0241
84,1170,103000,27,2436,29
85,1180,104180,28,2464,28.9882
86,1300,105480,30,2494,29
87,1170,106650,27,2521,28.977
88,1180,107830,28,2549,28.9659
89,1180,109010,28,2577,28.9551
90,1300,110310,30,2607,28.9667
91,1050,111360,25,2632,28.9231
92,1070,112430,26,2658,28.8913
93,1170,113600,27,2685,28.871
94,1070,114670,26,2711,28.8404
95,920,115590,22,2733,28.7684
96,1070,116660,26,2759,28.7396
97,1050,117710,25,2784,28.701
98,1200,118910,29,2813,28.7041
99,1070,119980,26,2839,28.6768
100,1170,121150,27,2866,28.66
101,1070,122220,26,2892,28.6337
102,1170,123390,27,2919,28.6176
103,940,124330,23,2942,28.5631
104,1050,125380,25,2967,28.5288
105,1070,126450,26,2993,28.5048
106,1070,127520,26,3019,28.4811
107,1050,128570,25,3044,28.4486
108,910,129480,21,3065,28.3796
109,810,130290,20,3085,28.3028
110,940,131230,23,3108,28.2545
111,790,132020,19,3127,28.1712
112,940,132960,23,3150,28.125
113,940,133900,23,3173,28.0796
114,910,134810,21,3194,28.0175
115,940,135750,23,3217,27.9739
116,940,136690,23,3240,27.931
117,1040,137730,24,3264,27.8974
118,920,138650,22,3286,27.8475
119,910,139560,21,3307,27.7899
120,790,140350,19,3326,27.7167
121,940,141290,23,3349,27.6777
122,810,142100,20,3369,27.6148
123,790,142890,19,3388,27.5447
124,910,143800,21,3409,27.4919
125,780,144580,18,3427,27.416
126,810,145390,20,3447,27.3571
127,810,146200,20,3467,27.2992
128,780,146980,18,3485,27.2266
129,810,147790,20,3505,27.1705
130,940,148730,23,3528,27.1385
131,810,149540,20,3548,27.084
132,810,150350,20,3568,27.0303
133,810,151160,20,3588,26.9774
134,780,151940,18,3606,26.9104
135,780,152720,18,3624,26.8444
136,790,153510,19,3643,26.7868
137,780,154290,18,3661,26.7226
138,780,155070,18,3679,26.6594
139,650,155720,15,3694,26.5755
140,660,156380,16,3710,26.5
141,680,157060,17,3727,26.4326
142,680,157740,17,3744,26.3662
143,530,158270,13,3757,26.2727
144,660,158930,16,3773,26.2014
145,660,159590,16,3789,26.131
146,650,160240,15,3804,26.0548
147,680,160920,17,3821,25.9932
148,660,161580,16,3837,25.9257
149,650,162230,15,3852,25.8523
150,650,162880,15,3867,25.78
151,910,163790,21,3888,25.7483
