Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.4246,24.2718,9.08059,4.50277,1,3,2,1,3,11,50,100,50
2,10,20,26.6186,19.5122,9.68267,4.67547,3,3,1,1,4,8,150,50,150
3,10,20.4248,26.5734,21.2838,10.0423,4.49438,3,1,2,1,12,11,100,150,50
4,10,20,26.6009,20.7792,10.3448,4.14831,1,1,2,2,1,8,150,150,150
5,10,20,30,18.7575,10.2833,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6454,20.0869,10.0442,4.55786,2,1,1,2,5,9,150,150,50
7,10,20,26.4901,19.8327,9.9424,4.60526,1,3,2,2,6,12,50,100,100
8,10,20,29.6101,19.1604,9.69446,1.69109,2,3,2,2,10,2,100,100,150
9,10,20.9399,26.9098,19.4805,9.31064,4.28503,2,1,1,2,10,9,50,50,150
10,10,20.0029,27.7096,18.1916,10.1402,2.79099,2,3,3,2,11,5,150,100,50
11,10,20.0013,27.7922,19.538,10.1331,2.83108,3,3,2,2,12,5,100,100,50
12,10,20,27.0053,20.9146,8.78788,3.8806,2,3,1,3,1,7,150,50,50
13,10,20,26.371,19.2683,15.2091,4.77488,2,3,2,3,1,10,100,50,100
14,10,20,30,20.5613,10.494,1.04167,2,3,1,3,6,2,150,50,50
15,10,20.088,26.5107,21.0494,10.5664,4.63942,2,2,1,3,6,12,50,50,100
16,10,20.0182,26.6121,20.0926,9.71689,4.05405,3,2,2,3,8,8,100,150,50
17,10,20,27.0647,20.4573,9.6843,3.39459,2,3,1,3,10,6,150,150,150
18,10,20,27.7693,20.7539,9.45122,3.41283,1,3,2,4,1,4,50,150,50
19,10,20,27.0542,20.7058,10.0324,4.25214,2,2,2,4,2,7,100,150,50
20,10,20,29.7299,19.3328,9.29825,1.78902,3,3,1,4,3,3,150,150,150
21,10,20,26.3649,20.8216,10.1798,4.95998,3,2,2,4,6,10,100,50,100
22,10,20,29.2339,21.5809,10.2168,2.002,2,2,3,5,4,2,50,150,100
23,10,20,26.4171,20.0508,10.3095,4.48396,2,2,1,5,8,11,50,100,100
24,10,20.1134,26.5009,19.9936,10.1001,4.4694,1,2,2,5,8,12,50,150,150
25,10,20.2129,28.0204,19.4044,10.2765,2.40964,3,2,2,5,12,4,50,100,50
26,10.0472,21.1294,27.3806,19.3651,9.17163,4.0257,3,3,1,5,12,7,100,50,100
27,10,20,27.9201,19.3671,11.1111,2.94985,2,3,1,6,1,4,50,150,50
28,10,20,27.0262,19.9025,9.42375,3.60704,1,2,2,6,5,7,50,150,50
29,10,20.4288,26.8704,20.4574,9.85528,4.74972,2,1,2,6,8,9,100,100,50
30,10.0501,20.935,26.9608,19.3133,9.74412,3.50877,2,1,2,6,11,9,100,100,50
31,10.0052,20,27.7564,18.796,10.2108,2.76278,3,3,2,7,4,5,100,150,100
32,10.008,20,26.5967,20.3469,9.99197,4.48859,2,3,2,7,4,8,150,100,150
33,10,20,26.4018,20.0467,10.0864,4.34277,3,2,1,7,6,11,50,150,50
34,10.0106,20,27.7796,20.4911,10.747,2.9653,3,1,2,7,7,5,150,150,150
35,10.0053,20,27.7785,19.2964,9.45455,2.99307,2,2,2,7,8,5,150,100,50
36,10.0105,20.0036,26.3497,19.1865,10.3178,4.15714,3,2,3,7,9,10,100,100,150
37,10,20,28.4776,20.5291,10.8019,2.89855,3,2,3,7,10,1,50,100,150
38,10.0053,20,29.6907,20.0252,9.73212,1.18528,3,2,1,7,10,3,100,50,150
39,10.0027,20.3253,26.5315,20.0043,9.98571,4.65283,2,2,3,7,10,10,150,50,50
40,10.1626,20.9161,26.8006,19.0658,9.16656,4.31614,3,3,1,7,11,10,150,50,100
41,10,20,29.4771,20.4912,12.0041,1.71306,3,3,2,8,2,2,50,100,100
42,10.54,20.6588,27.2911,19.9487,9.18067,3.68151,2,2,1,8,12,7,50,50,100
43,10.0159,20,27.0574,19.1363,10.2729,3.89873,1,1,2,9,5,6,150,100,50
44,10.0219,20,27.774,19.2475,10.6936,3.81184,1,2,3,9,9,4,150,150,100
45,12.8799,20,27.7734,17.4037,10.8537,2.69243,2,1,2,10,2,5,100,100,150
46,10.7278,20,26.594,19.7538,9.86651,3.84332,1,3,2,10,3,8,50,150,150
47,11.8113,20,26.3605,18.3536,11.132,4.43201,2,1,1,10,3,10,50,50,100
48,10.0107,20,29.1984,19.4592,10.1468,2.11268,1,1,3,10,5,2,100,100,50
49,12.886,20,28.4694,17.6934,10.5527,1.34228,2,1,3,10,10,1,150,50,100
50,13.4901,20.5127,30,16.8485,9.35785,1.20773,3,3,1,10,11,2,50,100,50
51,12.7396,20,29.2619,17.2811,14,1.1988,1,1,3,11,1,2,100,50,50
52,11.6807,20,30,18.9917,9.11361,0.561798,1,2,2,11,4,1,100,150,50
53,14.79,20,27.7574,15.0457,9.53364,3.46076,3,2,3,11,4,4,150,50,150
54,13.6532,20.5667,27.2134,16.3088,9.73909,3.73514,1,2,3,11,11,7,100,100,100
55,12.0113,20.1199,26.4402,18.2053,10.4017,4.25502,1,2,3,11,11,10,100,150,50
56,14.8554,20,26.3406,15.7533,10.2731,4.14523,2,3,1,12,4,10,50,50,50
57,13.9185,20,29.6768,16.5005,10.0149,1.31332,1,1,1,12,7,3,50,100,100
58,12.8545,20,29.4985,17.4234,10.5465,1.50602,1,1,2,12,8,3,150,50,50
59,12.8851,20.0102,27.0694,17.7817,9.74849,3.72449,1,1,1,12,8,6,100,150,150
