Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Shift,Application2Shift,Application3Shift
1,10,20,26.4062,24.2424,10.3267,4.48147,1,3,2,1,3,11,50,100,50
2,10,20,26.618,21.3287,10.0728,4.56127,3,3,1,1,4,8,150,50,150
3,10,20.1107,26.451,18.0556,10.0398,4.30801,3,1,2,1,12,11,100,150,50
4,10,20,26.6041,19.7619,11.236,3.98689,1,1,2,2,1,8,150,150,150
5,10,20,30,18.8525,9.88547,0,1,2,1,2,3,1,100,150,50
6,10,20,26.6208,18.5841,10.4359,4.41271,2,1,1,2,5,9,150,150,50
7,10,20,26.5091,20.2103,9.88062,4.51401,1,3,2,2,6,12,50,100,100
8,10,20,29.4787,17.4251,9.79749,2.08333,2,3,2,2,10,2,100,100,150
9,10,20.0997,26.6426,19.7213,9.7244,4.48934,2,1,1,2,10,9,50,50,150
10,10,20.8718,28.1947,20,8.99663,2.81955,2,3,3,2,11,5,150,100,50
11,10,20.4232,28.1983,19.7225,9.73827,3.26019,3,3,2,2,12,5,100,100,50
12,10,20,26.9604,20.9501,7.16612,3.6887,2,3,1,3,1,7,150,50,50
13,10,20,26.3973,19.3587,9.39597,4.74484,2,3,2,3,1,10,100,50,100
14,10,20,30,19.939,9.89011,1.19474,2,3,1,3,6,2,150,50,50
15,10,20,26.5003,19.8446,10.4865,4.45149,2,2,1,3,6,12,50,50,100
16,10,20.0628,26.6843,19.0867,9.86121,4.2684,3,2,2,3,8,8,100,150,50
17,10,20,27.0998,20.7975,9.56124,3.56597,2,3,1,3,10,6,150,150,150
18,10,20,27.7888,20.8491,9.80392,3.21235,1,3,2,4,1,4,50,150,50
19,10,20,27.0099,21.1009,10.9189,3.90741,2,2,2,4,2,7,100,150,50
20,10,20,29.719,19.284,11.3744,1.69492,3,3,1,4,3,3,150,150,150
21,10,20,26.3942,20.9379,10.3632,4.82274,3,2,2,4,6,10,100,50,100
22,10,20,29.202,20.8214,9.69845,1.88305,2,2,3,5,4,2,50,150,100
23,10,20,26.413,20.6439,10.0037,4.41803,2,2,1,5,8,11,50,100,100
24,10,20.6115,26.6104,19.7402,10.7039,3.81831,1,2,2,5,8,12,50,150,150
25,10.0156,20.3305,28.1441,19.7558,9.98717,2.72053,3,2,2,5,12,4,50,100,50
26,10,20,27.0261,18.9811,10.2957,3.75107,3,3,1,5,12,7,100,50,100
27,10,20,27.9199,19.6283,9.36455,3.16056,2,3,1,6,1,4,50,150,50
28,10,20,27.0115,19.6616,9.98093,3.11966,1,2,2,6,5,7,50,150,50
29,10,20,26.6021,20.0458,10.8365,3.80813,2,1,2,6,8,9,100,100,50
30,10,20.0587,26.6773,18.9896,9.85406,4.1573,2,1,2,6,11,9,100,100,50
31,10.0078,20,27.7655,18.9269,9.90991,3.09343,3,3,2,7,4,5,100,150,100
32,10.008,20,26.6469,20.9022,9.95106,4.621,2,3,2,7,4,8,150,100,150
33,10,20,26.3811,20.6271,9.28281,4.37419,3,2,1,7,6,11,50,150,50
34,10.0053,20,27.8113,20.3231,10.4078,3.17409,3,1,2,7,7,5,150,150,150
35,10.0053,20,27.7198,20.0042,9.29042,2.8169,2,2,2,7,8,5,150,100,50
36,10.0104,20.0036,26.3688,18.7831,10.1526,4.35217,3,2,3,7,9,10,100,100,150
37,10,20,28.3333,20.5766,10.7619,3.2967,3,2,3,7,10,1,50,100,150
