Run,Application1AverageBandWidth,Application2AverageBandWidth,Application3AverageBandWidth,Application1ErrorRate,Application2ErrorRate,Application3ErrorRate,Application1Noise,Application2Noise,Application3Noise,Application1Peak,Application2Peak,Application3Peak,Application1Peak,Application2Peak,Application3Peak
1,10,20,25.818,17.9752,11.3402,5.1345,3,1,2,2,1,12,50,150,100
2,10,20,25.8066,21.6898,13.0841,5.24345,1,2,2,3,1,12,50,50,100
3,10,20,25.7952,18.9944,9.97151,4.78234,1,1,1,3,5,3,150,50,100
4,10,20,25.7947,20.3362,10.3704,4.79817,2,1,2,4,6,6,50,50,50
5,10,20,25.7879,19.2626,10.0497,4.97774,2,2,2,4,9,4,150,150,100
6,10,20,25.7982,20.0186,8.867,5.01818,3,3,3,5,2,8,150,150,150
7,10,20,25.7951,20.12,10.4065,4.85437,2,1,2,5,10,8,100,100,50
8,10,20,25.817,18.5857,6.72269,5.53545,1,2,1,6,1,7,100,50,150
9,10,20,25.8005,21.3111,9.60245,5.27366,2,2,2,6,3,10,50,100,100
10,10,20,25.7945,20.0724,9.34372,4.93782,3,2,1,7,2,8,50,150,150
11,10,20,25.7759,20.5346,10.008,4.91015,1,3,2,7,9,6,100,150,150
12,10,20,25.7974,20.4201,9.1653,5.22792,2,2,3,8,4,10,100,100,150
13,13.2564,20,25.8124,16.5169,11.2628,5.52416,3,3,3,10,1,8,150,100,100
14,12.2267,20,25.7728,18.5286,9.97727,4.48841,2,2,2,10,6,7,50,150,50
15,11.1239,20,25.8088,18.528,9.90666,5.32944,2,1,2,10,7,8,100,100,50
16,11.1118,20,25.7755,19.0005,9.82352,4.96454,1,1,3,11,7,5,150,150,100
17,14.2895,20,25.7989,16.2371,4.9505,5.09014,3,1,2,12,1,2,50,100,50
18,14.3124,20,25.7672,16.145,10.564,4.69472,3,1,2,12,4,11,100,100,150
