"Indice","Valore"
0,0
1,10
2,10
3,10
4,20
5,20
6,20
7,30
8,40
9,50
10,60
11,80
12,100
13,120
14,140
15,170
16,210
17,240
18,270
19,310
20,340
21,370
22,400
23,430
24,480
25,540
26,610
27,690
28,750
29,800
30,860
31,920
32,990
33,1060
34,1140
35,1210
36,1290
37,1360
38,1440
39,1530
40,1610
41,1680
42,1760
43,1840
44,1940
45,2020
46,2110
47,2200
48,2290
49,2380
50,2510
51,2640
52,2785
53,2900
54,3030
55,3160
56,3275
57,3405
58,3520
59,3650
60,3795
61,3940
62,4070
63,4215
64,4375
65,4535
66,4695
67,4855
68,5030
69,5190
70,5380
71,5555
72,5745
73,5935
74,6095
75,6285
76,6460
77,6665
78,6855
79,7045
80,7265
81,7500
82,7720
83,7925
84,8160
85,8365
86,8600
87,8820
88,9040
89,9260
90,9480
91,9700
92,9935
93,10155
94,10390
95,10625
96,10845
97,11080
98,11315
99,11550
100,11800
101,12065
102,12315
103,12565
104,12800
105,13065
106,13315
107,13535
108,13770
109,14020
110,14285
111,14550
112,14815
113,15080
114,15360
115,15610
116,15875
117,16125
118,16405
119,16670
120,16935
121,17200
122,17450
123,17700
124,17965
125,18245
126,18510
127,18775
128,19040
129,19305
130,19555
131,19820
132,20085
133,20350
134,20615
135,20865
136,21115
137,21380
138,21660
139,21910
140,22175
141,22440
142,22705
143,22940
144,23190
145,23455
146,23720
147,24000
148,24280
149,24590
150,24855
151,25105
152,25370
153,25635
154,25900
155,26195
156,26445
157,26695
158,26960
159,27225
160,27490
161,27755
162,28005
163,28270
164,28535
165,28785
166,29050
167,29330
168,29595
169,29875
170,30140
171,30405
172,30685
173,30950
174,31245
175,31525
176,31790
177,32055
178,32320
179,32570
180,32835
181,33085
182,33350
183,33615
184,33865
185,34130
186,34395
187,34645
188,34910
189,35145
190,35395
191,35630
192,35895
193,36145
194,36395
195,36645
196,36910
197,37145
198,37380
199,37615
200,37835
201,38070
202,38305
203,38540
204,38775
205,38995
206,39200
207,39420
208,39655
209,39875
210,40110
211,40315
212,40535
213,40755
214,40975
215,41180
216,41400
217,41620
218,41840
219,42015
220,42190
221,42365
222,42540
223,42715
224,42890
225,43080
226,43255
227,43430
228,43605
229,43780
230,43925
231,44085
232,44245
233,44405
234,44565
235,44710
236,44855
237,44985
238,45130
239,45275
240,45420
241,45550
242,45695
243,45825
244,45955
245,46070
246,46200
247,46330
248,46475
249,46605
250,46695
251,46785
252,46865
253,46955
254,47045
255,47135
256,47225
257,47340
258,47420
259,47510
260,47590
261,47660
262,47750
263,47820
264,47890
265,47950
266,48020
267,48080
268,48140
269,48200
270,48260
271,48320
272,48380
273,48440
274,48510
275,48540
276,48570
277,48590
278,48630
279,48660
280,48700
281,48730
282,48760
283,48790
284,48810
285,48810
286,48830
287,48850
288,48870
289,48880
290,48890
291,48900
292,48900
293,48900
294,48910
295,48920
296,48920
297,48920
298,48920
299,48920
300,48930
301,48940
302,48950
303,48950
304,48960
305,48960
306,48960
307,48980
308,48990
309,49000
310,49020
311,49040
312,49060
313,49080
314,49100
315,49130
316,49160
317,49180
318,49210
319,49240
320,49270
321,49300
322,49340
323,49370
324,49430
325,49470
326,49530
327,49580
328,49630
329,49690
330,49760
331,49820
332,49880
333,49950
334,50030
335,50100
336,50180
337,50260
338,50340
339,50420
340,50490
341,50590
342,50705
343,50795
344,50885
345,50975
346,51065
347,51155
348,51235
349,51305
350,51435
351,51565
352,51695
353,51825
354,51970
355,52115
356,52245
357,52390
358,52505
359,52635
360,52765
361,52895
362,53040
363,53170
364,53330
365,53490
366,53650
367,53810
368,53970
369,54175
370,54350
371,54525
372,54715
373,54860
374,55035
375,55210
376,55385
377,55575
378,55750
379,55925
380,56145
381,56365
382,56585
383,56805
384,57010
385,57230
386,57435
387,57655
388,57860
389,58050
390,58285
391,58490
392,58710
393,58930
394,59150
395,59385
396,59605
397,59825
398,60060
399,60310
400,60530
401,60780
402,61030
403,61280
404,61515
405,61765
406,62015
407,62280
408,62530
409,62780
410,63045
411,63310
412,63575
413,63840
414,64105
415,64385
416,64635
417,64885
418,65135
419,65385
420,65650
421,65900
422,66165
423,66430
424,66710
425,66975
426,67240
427,67490
428,67740
429,68020
430,68285
431,68550
432,68815
433,69080
434,69345
435,69610
436,69890
437,70170
438,70420
439,70715
440,70995
441,71260
442,71540
443,71805
444,72070
445,72335
446,72600
447,72865
448,73130
449,73440
450,73705
451,73955
452,74220
453,74485
454,74750
455,75030
456,75295
457,75545
458,75810
459,76090
460,76355
461,76620
462,76870
463,77120
464,77370
465,77605
466,77870
467,78120
468,78385
469,78650
470,78945
471,79255
472,79565
473,79895
474,80205
475,80515
476,80835
477,81155
478,81475
479,81785
480,82070
481,82390
482,82710
483,83030
484,83350
485,83690
486,84010
487,84330
488,84650
489,84950
490,85250
491,85570
492,85870
493,86170
494,86455
495,86755
496,87055
497,87375
498,87645
499,87915
500,88200
501,88485
502,88770
503,89055
504,89340
505,89625
506,89880
507,90150
508,90420
509,90690
510,90960
511,91215
512,91485
513,91735
514,92005
515,92260
516,92530
517,92770
518,93040
519,93265
520,93475
521,93700
522,93925
523,94135
524,94360
525,94570
526,94795
527,95005
528,95215
529,95440
530,95650
531,95860
532,96070
533,96310
534,96520
535,96715
536,96910
537,97090
538,97285
539,97480
540,97675
541,97840
542,98005
543,98185
544,98380
545,98560
546,98755
547,98935
548,99115
549,99280
550,99415
551,99565
552,99700
553,99835
554,99985
555,100105
556,100240
557,100360
558,100450
559,100570
560,100690
561,100795
562,100900
563,101020
564,101125
565,101230
566,101335
567,101425
568,101515
569,101620
570,101695
571,101785
572,101875
573,101965
574,102005
575,102035
576,102065
577,102095
578,102125
579,102155
580,102185
581,102215
582,102265
583,102310
584,102325
585,102340
586,102355
587,102415
588,102445
589,102460
590,102475
591,102505
592,102505
593,102520
594,102520
595,102535
596,102535
597,102535
598,102535
599,102535
600,102535
601,102550
602,102550
603,102550
604,102550
605,102550
606,102565
607,102580
608,102595
609,102610
610,102625
611,102655
612,102700
613,102730
614,102760
615,102805
616,102850
617,102895
618,102940
619,103000
620,103045
621,103090
622,103135
623,103180
624,103255
625,103315
626,103420
627,103495
628,103570
629,103660
630,103775
631,103880
632,103985
633,104090
634,104195
635,104300
636,104405
637,104510
638,104615
639,104735
640,104840
641,104955
642,105100
643,105250
644,105415
645,105550
646,105685
647,105805
648,105940
649,106060
650,106240
651,106420
652,106615
653,106805
654,107000
655,107180
656,107375
657,107555
658,107720
659,107930
660,108140
661,108350
662,108545
663,108740
664,108950
665,109160
666,109370
667,109580
668,109790
669,110015
670,110225
671,110465
672,110700
673,110925
674,111165
675,111390
676,111615
677,111840
678,112065
679,112290
680,112560
681,112830
682,113100
683,113370
684,113640
685,113910
686,114205
687,114490
688,114775
689,115045
690,115315
691,115555
692,115840
693,116110
694,116395
695,116680
696,116965
697,117215
698,117435
699,117700
700,117935
701,118245
702,118495
703,118790
704,119040
705,119290
706,119540
707,119815
708,120065
709,120300
710,120610
711,120920
712,121220
713,121470
714,121735
715,121985
716,122250
717,122515
718,122795
719,123105
720,123455
721,123775
722,124040
723,124320
724,124585
725,124880
726,125130
727,125380
728,125660
729,125925
730,126190
731,126475
732,126785
733,127050
734,127315
735,127580
736,127845
737,128125
738,128390
739,128740
740,129050
741,129345
742,129625
743,129890
744,130155
745,130405
746,130640
747,130920
748,131185
749,131465
750,131730
751,132010
752,132290
753,132555
754,132805
755,133070
756,133335
757,133585
758,133850
759,134115
760,134415
761,134725
762,134990
763,135240
764,135505
765,135770
766,136035
767,136285
768,136550
769,136815
770,137080
771,137345
772,137610
773,137895
774,138160
775,138440
776,138745
777,139055
778,139320
779,139570
780,139835
781,140120
782,140415
783,140725
784,141055
785,141365
786,141615
787,141880
788,142160
789,142425
790,142675
791,142925
792,143190
793,143440
794,143705
795,143955
796,144175
797,144410
798,144645
799,144895
800,145115
801,145350
802,145600
803,145850
804,146085
805,146305
806,146525
807,146745
808,146965
809,147170
810,147375
811,147595
812,147830
813,148050
814,148255
815,148475
816,148695
817,148915
818,149135
819,149280
820,149455
821,149615
822,149805
823,149980
824,150200
825,150375
826,150565
827,150740
828,150930
829,151135
830,151355
831,151550
832,151695
833,151855
834,152015
835,152130
836,152310
837,152515
838,152680
839,152825
840,152955
841,153100
842,153230
843,153360
844,153490
845,153620
846,153765
847,153895
848,154010
849,154140
850,154240
851,154330
852,154420
853,154510
854,154600
855,154690
856,154770
857,154860
858,154930
859,155010
860,155080
861,155160
862,155250
863,155355
864,155460
865,155550
866,155640
867,155700
868,155760
869,155820
870,155890
871,155950
872,156010
873,156060
874,156120
875,156140
876,156170
877,156220
878,156250
879,156280
880,156310
881,156340
882,156380
883,156400
884,156420
885,156440
886,156460
887,156480
888,156490
889,156510
890,156520
891,156530
892,156530
893,156530
894,156540
895,156540
896,156540
897,156550
898,156550
899,156560
900,156560
901,156570
902,156580
903,156580
904,156580
905,156590
906,156590
907,156590
908,156610
909,156620
910,156630
911,156650
912,156670
913,156690
914,156710
915,156740
916,156770
917,156810
918,156830
919,156870
920,156910
921,156940
922,156970
923,157000
924,157060
925,157110
926,157170
927,157230
928,157290
929,157350
930,157410
931,157470
932,157540
933,157610
934,157680
935,157750
936,157820
937,157890
938,157970
939,158040
940,158130
941,158220
942,158310
943,158400
944,158490
945,158580
946,158660
947,158750
948,158840
949,158930
950,159060
951,159160
952,159290
953,159420
954,159535
955,159665
956,159795
957,159925
958,160055
959,160185
960,160315
961,160460
962,160590
963,160735
964,160895
965,161055
966,161200
967,161360
968,161535
969,161725
970,161915
971,162090
972,162265
973,162440
974,162615
975,162775
976,162965
977,163125
978,163285
979,163460
980,163680
981,163900
982,164105
983,164310
984,164530
985,164765
986,165000
987,165220
988,165440
989,165660
990,165895
991,166130
992,166350
993,166570
994,166805
995,167055
996,167275
997,167510
998,167745
999,167980
1000,168230
1001,168480
1002,168730
1003,168980
1004,169230
1005,169495
1006,169745
1007,169980
1008,170230
1009,170495
1010,170760
1011,171025
1012,171305
1013,171570
1014,171835
1015,172130
1016,172395
1017,172675
1018,172940
1019,173220
1020,173470
1021,173750
1022,174000
1023,174265
1024,174545
1025,174795
1026,175060
1027,175325
1028,175575
1029,175855
1030,176120
1031,176385
1032,176650
1033,176900
1034,177165
1035,177430
1036,177770
1037,178070
1038,178390
1039,178710
1040,179010
1041,179330
1042,179630
1043,179970
1044,180290
1045,180610
1046,180930
1047,181230
1048,181550
1049,181920
1050,182240
1051,182560
1052,182880
1053,183200
1054,183540
1055,183860
1056,184180
1057,184500
1058,184800
1059,185120
1060,185440
1061,185780
1062,186120
1063,186440
1064,186760
1065,187120
1066,187440
1067,187760
1068,188100
1069,188420
1070,188740
1071,189080
1072,189400
1073,189700
1074,190020
1075,190380
1076,190680
1077,190980
1078,191320
1079,191660
1080,191960
1081,192280
1082,192565
1083,192830
1084,193125
1085,193390
1086,193655
1087,193920
1088,194185
1089,194465
1090,194700
1091,194965
1092,195215
1093,195450
1094,195685
1095,195965
1096,196215
1097,196465
1098,196700
1099,196935
1100,197170
1101,197405
1102,197640
1103,197875
1104,198110
1105,198330
1106,198535
1107,198740
1108,198945
1109,199180
1110,199385
1111,199605
1112,199810
1113,200045
1114,200265
1115,200485
1116,200720
1117,200940
1118,201160
1119,201320
1120,201495
1121,201670
1122,201830
1123,202005
1124,202165
1125,202325
1126,202500
1127,202690
1128,202865
1129,203040
1130,203170
1131,203315
1132,203475
1133,203635
1134,203795
1135,203940
1136,204085
1137,204230
1138,204375
1139,204535
1140,204665
1141,204795
1142,204910
1143,205055
1144,205235
1145,205415
1146,205595
1147,205760
1148,205940
1149,206120
1150,206255
1151,206405
1152,206555
1153,206645
1154,206735
1155,206850
1156,206950
1157,207050
1158,207130
1159,207200
1160,207290
1161,207370
1162,207440
1163,207520
1164,207580
1165,207660
1166,207730
1167,207780
1168,207840
1169,207890
1170,207950
1171,208010
1172,208060
1173,208130
1174,208200
1175,208240
1176,208280
1177,208310
1178,208340
1179,208360
1180,208400
1181,208430
1182,208460
1183,208500
1184,208510
1185,208530
1186,208550
1187,208570
1188,208580
1189,208590
1190,208610
1191,208620
1192,208630
1193,208630
1194,208630
1195,208630
1196,208630
1197,208630
1198,208640
1199,208640
