"Indice","Valore"
0,0
1,10
2,10
3,10
4,20
5,20
6,20
7,30
8,40
9,50
10,60
11,80
12,100
13,120
14,140
15,170
16,210
17,240
18,270
19,310
20,340
21,370
22,400
23,430
24,480
25,540
26,610
27,690
28,750
29,800
30,860
31,920
32,990
33,1060
34,1140
35,1210
36,1290
37,1360
38,1440
39,1530
40,1610
41,1680
42,1760
43,1840
44,1940
45,2020
46,2110
47,2200
48,2290
49,2380
50,2500
51,2620
52,2750
53,2860
54,2980
55,3100
56,3210
57,3330
58,3440
59,3560
60,3690
61,3820
62,3940
63,4070
64,4210
65,4350
66,4490
67,4630
68,4780
69,4920
70,5080
71,5230
72,5390
73,5550
74,5690
75,5850
76,6000
77,6170
78,6330
79,6490
80,6670
81,6860
82,7040
83,7210
84,7400
85,7570
86,7760
87,7940
88,8120
89,8300
90,8480
91,8660
92,8850
93,9030
94,9220
95,9410
96,9590
97,9780
98,9970
99,10160
100,10360
101,10570
102,10770
103,10970
104,11160
105,11370
106,11570
107,11750
108,11940
109,12140
110,12350
111,12560
112,12770
113,12980
114,13200
115,13400
116,13610
117,13810
118,14030
119,14240
120,14450
121,14660
122,14860
123,15060
124,15270
125,15490
126,15700
127,15910
128,16120
129,16330
130,16530
131,16740
132,16950
133,17160
134,17370
135,17570
136,17770
137,17980
138,18200
139,18400
140,18610
141,18820
142,19030
143,19220
144,19420
145,19630
146,19840
147,20060
148,20280
149,20520
150,20730
151,20930
152,21140
153,21350
154,21560
155,21790
156,21990
157,22190
158,22400
159,22610
160,22820
161,23030
162,23230
163,23440
164,23650
165,23850
166,24060
167,24280
168,24490
169,24710
170,24920
171,25130
172,25350
173,25560
174,25790
175,26010
176,26220
177,26430
178,26640
179,26840
180,27050
181,27250
182,27460
183,27670
184,27870
185,28080
186,28290
187,28490
188,28700
189,28890
190,29090
191,29280
192,29490
193,29690
194,29890
195,30090
196,30300
197,30490
198,30680
199,30870
200,31050
201,31240
202,31430
203,31620
204,31810
205,31990
206,32160
207,32340
208,32530
209,32710
210,32900
211,33070
212,33250
213,33430
214,33610
215,33780
216,33960
217,34140
218,34320
219,34470
220,34620
221,34770
222,34920
223,35070
224,35220
225,35380
226,35530
227,35680
228,35830
229,35980
230,36110
231,36250
232,36390
233,36530
234,36670
235,36800
236,36930
237,37050
238,37180
239,37310
240,37440
241,37560
242,37690
243,37810
244,37930
245,38040
246,38160
247,38280
248,38410
249,38530
250,38620
251,38710
252,38790
253,38880
254,38970
255,39060
256,39150
257,39260
258,39340
259,39430
260,39510
261,39580
262,39670
263,39740
264,39810
265,39870
266,39940
267,40000
268,40060
269,40120
270,40180
271,40240
272,40300
273,40360
274,40430
275,40460
276,40490
277,40510
278,40550
279,40580
280,40620
281,40650
282,40680
283,40710
284,40730
285,40730
286,40750
287,40770
288,40790
289,40800
290,40810
291,40820
292,40820
293,40820
294,40830
295,40840
296,40840
297,40840
298,40840
299,40840
300,40850
301,40860
302,40870
303,40870
304,40880
305,40880
306,40880
307,40900
308,40910
309,40920
310,40940
311,40960
312,40980
313,41000
314,41020
315,41050
316,41080
317,41100
318,41130
319,41160
320,41190
321,41220
322,41260
323,41290
324,41350
325,41390
326,41450
327,41500
328,41550
329,41610
330,41680
331,41740
332,41800
333,41870
334,41950
335,42020
336,42100
337,42180
338,42260
339,42340
340,42410
341,42510
342,42620
343,42710
344,42800
345,42890
346,42980
347,43070
348,43150
349,43220
350,43340
351,43460
352,43580
353,43700
354,43830
355,43960
356,44080
357,44210
358,44320
359,44440
360,44560
361,44680
362,44810
363,44930
364,45070
365,45210
366,45350
367,45490
368,45630
369,45800
370,45950
371,46100
372,46260
373,46390
374,46540
375,46690
376,46840
377,47000
378,47150
379,47300
380,47480
381,47660
382,47840
383,48020
384,48190
385,48370
386,48540
387,48720
388,48890
389,49050
390,49240
391,49410
392,49590
393,49770
394,49950
395,50140
396,50320
397,50500
398,50690
399,50890
400,51070
401,51270
402,51470
403,51670
404,51860
405,52060
406,52260
407,52470
408,52670
409,52870
410,53080
411,53290
412,53500
413,53710
414,53920
415,54140
416,54340
417,54540
418,54740
419,54940
420,55150
421,55350
422,55560
423,55770
424,55990
425,56200
426,56410
427,56610
428,56810
429,57030
430,57240
431,57450
432,57660
433,57870
434,58080
435,58290
436,58510
437,58730
438,58930
439,59160
440,59380
441,59590
442,59810
443,60020
444,60230
445,60440
446,60650
447,60860
448,61070
449,61310
450,61520
451,61720
452,61930
453,62140
454,62350
455,62570
456,62780
457,62980
458,63190
459,63410
460,63620
461,63830
462,64030
463,64230
464,64430
465,64620
466,64830
467,65030
468,65240
469,65450
470,65660
471,65870
472,66080
473,66300
474,66510
475,66720
476,66930
477,67140
478,67350
479,67560
480,67750
481,67960
482,68170
483,68380
484,68590
485,68810
486,69020
487,69230
488,69440
489,69640
490,69840
491,70050
492,70250
493,70450
494,70640
495,70840
496,71040
497,71250
498,71430
499,71610
500,71800
501,71990
502,72180
503,72370
504,72560
505,72750
506,72920
507,73100
508,73280
509,73460
510,73640
511,73810
512,73990
513,74160
514,74340
515,74510
516,74690
517,74850
518,75030
519,75180
520,75320
521,75470
522,75620
523,75760
524,75910
525,76050
526,76200
527,76340
528,76480
529,76630
530,76770
531,76910
532,77050
533,77210
534,77350
535,77480
536,77610
537,77730
538,77860
539,77990
540,78120
541,78230
542,78340
543,78460
544,78590
545,78710
546,78840
547,78960
548,79080
549,79190
550,79280
551,79380
552,79470
553,79560
554,79660
555,79740
556,79830
557,79910
558,79970
559,80050
560,80130
561,80200
562,80270
563,80350
564,80420
565,80490
566,80560
567,80620
568,80680
569,80750
570,80800
571,80860
572,80920
573,80980
574,81020
575,81050
576,81080
577,81110
578,81140
579,81170
580,81200
581,81230
582,81270
583,81300
584,81310
585,81320
586,81330
587,81370
588,81390
589,81400
590,81410
591,81430
592,81430
593,81440
594,81440
595,81450
596,81450
597,81450
598,81450
599,81450
600,81450
601,81460
602,81460
603,81460
604,81460
605,81460
606,81470
607,81480
608,81490
609,81500
610,81510
611,81530
612,81560
613,81580
614,81600
615,81630
616,81660
617,81690
618,81720
619,81760
620,81790
621,81820
622,81850
623,81880
624,81930
625,81970
626,82040
627,82090
628,82140
629,82200
630,82280
631,82350
632,82420
633,82490
634,82560
635,82630
636,82700
637,82770
638,82840
639,82920
640,82990
641,83070
642,83170
643,83270
644,83380
645,83470
646,83560
647,83640
648,83730
649,83810
650,83930
651,84050
652,84180
653,84310
654,84440
655,84560
656,84690
657,84810
658,84920
659,85060
660,85200
661,85340
662,85470
663,85600
664,85740
665,85880
666,86020
667,86160
668,86300
669,86450
670,86590
671,86750
672,86910
673,87060
674,87220
675,87370
676,87520
677,87670
678,87820
679,87970
680,88150
681,88330
682,88510
683,88690
684,88870
685,89050
686,89250
687,89440
688,89630
689,89810
690,89990
691,90150
692,90340
693,90520
694,90710
695,90900
696,91090
697,91290
698,91470
699,91650
700,91840
701,92050
702,92250
703,92450
704,92650
705,92850
706,93050
707,93250
708,93450
709,93640
710,93850
711,94060
712,94270
713,94470
714,94680
715,94880
716,95090
717,95300
718,95520
719,95730
720,95960
721,96180
722,96390
723,96610
724,96820
725,97050
726,97250
727,97450
728,97670
729,97880
730,98090
731,98300
732,98510
733,98720
734,98930
735,99140
736,99350
737,99570
738,99780
739,100010
740,100220
741,100420
742,100640
743,100850
744,101060
745,101260
746,101450
747,101670
748,101880
749,102100
750,102310
751,102530
752,102750
753,102960
754,103160
755,103370
756,103580
757,103780
758,103990
759,104200
760,104410
761,104620
762,104830
763,105030
764,105240
765,105450
766,105660
767,105860
768,106070
769,106280
770,106490
771,106700
772,106910
773,107120
774,107330
775,107550
776,107760
777,107970
778,108180
779,108380
780,108590
781,108790
782,108990
783,109200
784,109420
785,109630
786,109830
787,110040
788,110260
789,110470
790,110670
791,110870
792,111080
793,111280
794,111490
795,111690
796,111870
797,112060
798,112250
799,112450
800,112630
801,112820
802,113020
803,113220
804,113410
805,113590
806,113770
807,113950
808,114130
809,114300
810,114470
811,114650
812,114840
813,115020
814,115190
815,115370
816,115550
817,115730
818,115910
819,116040
820,116190
821,116330
822,116490
823,116640
824,116790
825,116940
826,117100
827,117240
828,117400
829,117540
830,117690
831,117830
832,117960
833,118100
834,118240
835,118350
836,118480
837,118620
838,118740
839,118870
840,118990
841,119120
842,119240
843,119360
844,119480
845,119600
846,119730
847,119850
848,119960
849,120080
850,120160
851,120250
852,120340
853,120430
854,120520
855,120610
856,120690
857,120780
858,120850
859,120930
860,121000
861,121080
862,121170
863,121240
864,121310
865,121370
866,121430
867,121490
868,121550
869,121610
870,121680
871,121740
872,121800
873,121850
874,121910
875,121930
876,121960
877,122010
878,122040
879,122070
880,122100
881,122130
882,122170
883,122190
884,122210
885,122230
886,122250
887,122270
888,122280
889,122300
890,122310
891,122320
892,122320
893,122320
894,122330
895,122330
896,122330
897,122340
898,122340
899,122350
900,122350
901,122360
902,122370
903,122370
904,122370
905,122380
906,122380
907,122380
908,122400
909,122410
910,122420
911,122440
912,122460
913,122480
914,122500
915,122530
916,122560
917,122600
918,122620
919,122660
920,122700
921,122730
922,122760
923,122790
924,122850
925,122900
926,122960
927,123020
928,123080
929,123140
930,123200
931,123260
932,123330
933,123400
934,123470
935,123540
936,123610
937,123680
938,123760
939,123830
940,123920
941,124010
942,124100
943,124190
944,124280
945,124370
946,124450
947,124540
948,124630
949,124720
950,124840
951,124940
952,125060
953,125180
954,125290
955,125410
956,125530
957,125650
958,125770
959,125890
960,126010
961,126140
962,126260
963,126390
964,126530
965,126670
966,126800
967,126940
968,127090
969,127250
970,127410
971,127560
972,127710
973,127860
974,128010
975,128150
976,128310
977,128450
978,128590
979,128740
980,128920
981,129100
982,129270
983,129440
984,129620
985,129810
986,130000
987,130180
988,130360
989,130540
990,130730
991,130920
992,131100
993,131280
994,131470
995,131670
996,131850
997,132040
998,132230
999,132420
1000,132620
1001,132820
1002,133020
1003,133220
1004,133420
1005,133630
1006,133830
1007,134020
1008,134220
1009,134430
1010,134640
1011,134850
1012,135070
1013,135280
1014,135490
1015,135720
1016,135930
1017,136150
1018,136360
1019,136580
1020,136780
1021,137000
1022,137200
1023,137410
1024,137630
1025,137830
1026,138040
1027,138250
1028,138450
1029,138670
1030,138880
1031,139090
1032,139300
1033,139500
1034,139710
1035,139920
1036,140140
1037,140340
1038,140550
1039,140760
1040,140960
1041,141170
1042,141370
1043,141590
1044,141800
1045,142010
1046,142220
1047,142420
1048,142630
1049,142870
1050,143080
1051,143290
1052,143500
1053,143710
1054,143930
1055,144140
1056,144350
1057,144560
1058,144760
1059,144970
1060,145180
1061,145400
1062,145620
1063,145830
1064,146040
1065,146270
1066,146480
1067,146690
1068,146910
1069,147120
1070,147330
1071,147550
1072,147760
1073,147960
1074,148170
1075,148400
1076,148600
1077,148800
1078,149020
1079,149240
1080,149440
1081,149650
1082,149860
1083,150070
1084,150300
1085,150510
1086,150720
1087,150930
1088,151140
1089,151360
1090,151550
1091,151760
1092,151960
1093,152150
1094,152340
1095,152560
1096,152760
1097,152960
1098,153150
1099,153340
1100,153530
1101,153720
1102,153910
1103,154100
1104,154290
1105,154470
1106,154640
1107,154810
1108,154980
1109,155170
1110,155340
1111,155520
1112,155690
1113,155880
1114,156060
1115,156240
1116,156430
1117,156610
1118,156790
1119,156930
1120,157080
1121,157230
1122,157370
1123,157520
1124,157660
1125,157800
1126,157950
1127,158110
1128,158260
1129,158410
1130,158530
1131,158660
1132,158800
1133,158940
1134,159080
1135,159210
1136,159340
1137,159470
1138,159600
1139,159740
1140,159860
1141,159980
1142,160090
1143,160220
1144,160340
1145,160460
1146,160580
1147,160690
1148,160810
1149,160930
1150,161020
1151,161120
1152,161220
1153,161310
1154,161400
1155,161510
1156,161610
1157,161710
1158,161790
1159,161860
1160,161950
1161,162030
1162,162100
1163,162180
1164,162240
1165,162320
1166,162390
1167,162440
1168,162500
1169,162550
1170,162610
1171,162670
1172,162720
1173,162790
1174,162860
1175,162900
1176,162940
1177,162970
1178,163000
1179,163020
1180,163060
1181,163090
1182,163120
1183,163160
1184,163170
1185,163190
1186,163210
1187,163230
1188,163240
1189,163250
1190,163270
1191,163280
1192,163290
1193,163290
1194,163290
1195,163290
1196,163290
1197,163290
1198,163300
1199,163300
