Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,100,100,1,1,0.125
9,10,110,1,2,0.222222
10,10,120,1,3,0.3
11,10,130,1,4,0.363636
12,40,170,2,6,0.5
13,30,200,2,8,0.615385
14,110,310,2,10,0.714286
15,20,330,2,12,0.8
16,140,470,3,15,0.9375
17,220,690,3,18,1.05882
18,50,740,3,21,1.16667
19,140,880,3,24,1.26316
20,300,1180,3,27,1.35
21,130,1310,3,30,1.42857
22,60,1370,3,33,1.5
23,120,1490,3,36,1.56522
24,50,1540,3,39,1.625
25,170,1710,6,45,1.8
26,190,1900,6,51,1.96154
27,260,2160,6,57,2.11111
28,240,2400,6,63,2.25
29,260,2660,6,69,2.37931
30,330,2990,6,75,2.5
31,250,3240,6,81,2.6129
32,260,3500,6,87,2.71875
33,190,3690,7,94,2.84848
34,130,3820,7,101,2.97059
35,350,4170,7,108,3.08571
36,460,4630,7,115,3.19444
37,280,4910,8,123,3.32432
38,460,5370,8,131,3.44737
39,290,5660,8,139,3.5641
40,290,5950,8,147,3.675
41,380,6330,8,155,3.78049
42,370,6700,9,164,3.90476
43,560,7260,9,173,4.02326
44,310,7570,9,182,4.13636
45,390,7960,9,191,4.24444
46,300,8260,9,200,4.34783
47,280,8540,9,209,4.44681
48,400,8940,9,218,4.54167
49,370,9310,9,227,4.63265
50,470,9780,9,236,4.72
51,590,10370,12,248,4.86275
52,510,10880,12,260,5
53,680,11560,12,272,5.13208
54,420,11980,12,284,5.25926
55,430,12410,12,296,5.38182
56,430,12840,12,308,5.5
57,320,13160,12,320,5.61404
58,350,13510,12,332,5.72414
59,720,14230,12,344,5.83051
60,450,14680,13,357,5.95
61,670,15350,13,370,6.06557
62,790,16140,13,383,6.17742
63,690,16830,13,396,6.28571
64,940,17770,13,409,6.39062
65,750,18520,14,423,6.50769
66,620,19140,14,437,6.62121
67,560,19700,14,451,6.73134
68,650,20350,14,465,6.83824
69,540,20890,14,479,6.94203
70,640,21530,15,494,7.05714
71,570,22100,15,509,7.16901
72,460,22560,15,524,7.27778
73,560,23120,15,539,7.38356
74,920,24040,15,554,7.48649
75,800,24840,15,569,7.58667
76,920,25760,15,584,7.68421
77,580,26340,15,599,7.77922
78,740,27080,15,614,7.87179
79,850,27930,15,629,7.96203
80,570,28500,15,644,8.05
81,940,29440,18,662,8.17284
82,790,30230,18,680,8.29268
83,860,31090,18,698,8.40964
84,840,31930,18,716,8.52381
85,750,32680,18,734,8.63529
86,610,33290,18,752,8.74419
87,520,33810,18,770,8.85057
88,420,34230,18,788,8.95455
89,700,34930,18,806,9.05618
90,970,35900,18,824,9.15556
91,650,36550,18,842,9.25275
92,1040,37590,18,860,9.34783
93,800,38390,18,878,9.44086
94,810,39200,18,896,9.53191
95,530,39730,19,915,9.63158
96,960,40690,19,934,9.72917
97,800,41490,19,953,9.82474
98,500,41990,19,972,9.91837
99,780,42770,19,991,10.0101
100,800,43570,19,1010,10.1
101,700,44270,19,1029,10.1881
102,900,45170,20,1049,10.2843
103,730,45900,20,1069,10.3786
104,850,46750,20,1089,10.4712
105,970,47720,20,1109,10.5619
106,810,48530,20,1129,10.6509
107,740,49270,20,1149,10.7383
108,1130,50400,20,1169,10.8241
109,860,51260,20,1189,10.9083
110,890,52150,20,1209,10.9909
111,840,52990,21,1230,11.0811
112,770,53760,21,1251,11.1696
113,660,54420,21,1272,11.2566
114,940,55360,21,1293,11.3421
115,1190,56550,21,1314,11.4261
116,1000,57550,21,1335,11.5086
117,1000,58550,21,1356,11.5897
118,840,59390,21,1377,11.6695
119,1090,60480,21,1398,11.7479
120,1080,61560,21,1419,11.825
121,750,62310,21,1440,11.9008
122,810,63120,21,1461,11.9754
123,850,63970,21,1482,12.0488
124,1030,65000,21,1503,12.121
125,1100,66100,21,1524,12.192
126,660,66760,21,1545,12.2619
127,1180,67940,21,1566,12.3307
128,1090,69030,21,1587,12.3984
129,910,69940,21,1608,12.4651
130,910,70850,21,1629,12.5308
131,830,71680,21,1650,12.5954
132,1190,72870,21,1671,12.6591
133,1240,74110,21,1692,12.7218
134,1020,75130,21,1713,12.7836
135,1190,76320,21,1734,12.8444
136,990,77310,21,1755,12.9044
137,870,78180,21,1776,12.9635
138,1080,79260,21,1797,13.0217
139,890,80150,21,1818,13.0791
140,730,80880,21,1839,13.1357
141,990,81870,21,1860,13.1915
142,660,82530,21,1881,13.2465
143,1000,83530,21,1902,13.3007
144,830,84360,21,1923,13.3542
145,580,84940,21,1944,13.4069
146,960,85900,21,1965,13.4589
147,810,86710,21,1986,13.5102
148,830,87540,21,2007,13.5608
149,1250,88790,21,2028,13.6107
150,1360,90150,24,2052,13.68
151,800,90950,21,2073,13.7285
152,950,91900,21,2094,13.7763
153,930,92830,21,2115,13.8235
154,670,93500,21,2136,13.8701
155,970,94470,21,2157,13.9161
156,1430,95900,21,2178,13.9615
157,990,96890,21,2199,14.0064
158,740,97630,21,2220,14.0506
159,770,98400,21,2241,14.0943
160,700,99100,21,2262,14.1375
161,450,99550,21,2283,14.1801
162,950,100500,21,2304,14.2222
163,1160,101660,21,2325,14.2638
164,1080,102740,21,2346,14.3049
165,1000,103740,21,2367,14.3455
166,980,104720,21,2388,14.3855
167,810,105530,21,2409,14.4251
168,780,106310,21,2430,14.4643
169,630,106940,21,2451,14.503
170,880,107820,21,2472,14.5412
171,980,108800,21,2493,14.5789
172,780,109580,21,2514,14.6163
173,840,110420,21,2535,14.6532
174,760,111180,21,2556,14.6897
175,640,111820,21,2577,14.7257
176,990,112810,21,2598,14.7614
177,920,113730,21,2619,14.7966
178,1160,114890,21,2640,14.8315
179,720,115610,21,2661,14.8659
180,1070,116680,21,2682,14.9
181,760,117440,21,2703,14.9337
182,920,118360,21,2724,14.967
183,560,118920,21,2745,15
184,940,119860,21,2766,15.0326
185,1090,120950,21,2787,15.0649
186,850,121800,21,2808,15.0968
187,690,122490,21,2829,15.1283
188,840,123330,21,2850,15.1596
189,1340,124670,21,2871,15.1905
190,1150,125820,20,2891,15.2158
191,890,126710,20,2911,15.2408
192,970,127680,20,2931,15.2656
193,810,128490,20,2951,15.2902
194,750,129240,20,2971,15.3144
195,1080,130320,20,2991,15.3385
196,720,131040,20,3011,15.3622
197,930,131970,20,3031,15.3858
198,790,132760,20,3051,15.4091
199,1050,133810,19,3070,15.4271
200,890,134700,19,3089,15.445
201,870,135570,19,3108,15.4627
202,730,136300,19,3127,15.4802
203,790,137090,19,3146,15.4975
204,980,138070,19,3165,15.5147
205,1110,139180,19,3184,15.5317
206,1210,140390,18,3202,15.5437
207,700,141090,18,3220,15.5556
208,780,141870,18,3238,15.5673
209,580,142450,18,3256,15.5789
210,790,143240,18,3274,15.5905
211,850,144090,18,3292,15.6019
212,680,144770,18,3310,15.6132
213,630,145400,18,3328,15.6244
214,590,145990,18,3346,15.6355
215,870,146860,18,3364,15.6465
216,800,147660,18,3382,15.6574
217,980,148640,18,3400,15.6682
218,780,149420,18,3418,15.6789
219,870,150290,18,3436,15.6895
220,500,150790,15,3451,15.6864
221,750,151540,15,3466,15.6833
222,740,152280,15,3481,15.6802
223,830,153110,15,3496,15.6771
224,420,153530,15,3511,15.6741
225,490,154020,15,3526,15.6711
226,560,154580,15,3541,15.6681
227,440,155020,15,3556,15.6652
228,470,155490,15,3571,15.6623
229,550,156040,15,3586,15.6594
230,550,156590,15,3601,15.6565
231,380,156970,14,3615,15.6494
232,570,157540,14,3629,15.6422
233,640,158180,14,3643,15.6352
234,650,158830,14,3657,15.6282
235,470,159300,14,3671,15.6213
236,790,160090,13,3684,15.6102
237,700,160790,13,3697,15.5992
238,460,161250,13,3710,15.5882
239,620,161870,13,3723,15.5774
240,640,162510,13,3736,15.5667
241,520,163030,12,3748,15.5519
242,360,163390,12,3760,15.5372
243,520,163910,12,3772,15.5226
244,760,164670,12,3784,15.5082
245,330,165000,12,3796,15.4939
246,610,165610,12,3808,15.4797
247,780,166390,12,3820,15.4656
248,770,167160,12,3832,15.4516
249,510,167670,12,3844,15.4378
250,700,168370,12,3856,15.424
251,390,168760,9,3865,15.3984
252,560,169320,9,3874,15.373
253,380,169700,9,3883,15.3478
254,310,170010,9,3892,15.3228
255,200,170210,9,3901,15.298
256,130,170340,9,3910,15.2734
257,390,170730,9,3919,15.249
258,410,171140,9,3928,15.2248
259,290,171430,8,3936,15.1969
260,370,171800,8,3944,15.1692
261,130,171930,8,3952,15.1418
262,470,172400,8,3960,15.1145
263,200,172600,8,3968,15.0875
264,200,172800,7,3975,15.0568
265,280,173080,7,3982,15.0264
266,190,173270,7,3989,14.9962
267,290,173560,7,3996,14.9663
268,200,173760,6,4002,14.9328
269,430,174190,6,4008,14.8996
270,180,174370,6,4014,14.8667
271,100,174470,6,4020,14.8339
272,430,174900,6,4026,14.8015
273,340,175240,6,4032,14.7692
274,360,175600,6,4038,14.7372
275,200,175800,6,4044,14.7055
276,120,175920,3,4047,14.663
277,130,176050,3,4050,14.6209
278,210,176260,3,4053,14.5791
279,220,176480,3,4056,14.5376
280,40,176520,3,4059,14.4964
281,120,176640,3,4062,14.4555
282,40,176680,3,4065,14.4149
283,140,176820,3,4068,14.3746
284,220,177040,3,4071,14.3345
285,30,177070,2,4073,14.2912
286,30,177100,2,4075,14.2483
287,20,177120,2,4077,14.2056
288,20,177140,2,4079,14.1632
289,20,177160,1,4080,14.1176
290,100,177260,1,4081,14.0724
291,10,177270,1,4082,14.0275
292,20,177290,1,4083,13.9829
293,0,177290,0,4083,13.9352
294,0,177290,0,4083,13.8878
295,0,177290,0,4083,13.8407
296,0,177290,0,4083,13.7939
297,0,177290,0,4083,13.7475
298,0,177290,0,4083,13.7013
299,0,177290,0,4083,13.6555
300,0,177290,0,4083,13.61
301,0,177290,0,4083,13.5648
302,0,177290,0,4083,13.5199
303,0,177290,0,4083,13.4752
304,0,177290,0,4083,13.4309
305,0,177290,0,4083,13.3869
306,0,177290,0,4083,13.3431
307,0,177290,0,4083,13.2997
308,20,177310,1,4084,13.2597
309,100,177410,1,4085,13.2201
310,100,177510,1,4086,13.1806
311,100,177610,1,4087,13.1415
312,110,177720,2,4089,13.1058
313,110,177830,2,4091,13.0703
314,20,177850,2,4093,13.035
315,110,177960,2,4095,13
316,130,178090,3,4098,12.9684
317,130,178220,3,4101,12.9369
318,50,178270,3,4104,12.9057
319,130,178400,3,4107,12.8746
320,40,178440,3,4110,12.8438
321,130,178570,3,4113,12.8131
322,210,178780,3,4116,12.7826
323,50,178830,3,4119,12.7523
324,140,178970,3,4122,12.7222
325,280,179250,6,4128,12.7015
326,250,179500,6,4134,12.681
327,270,179770,6,4140,12.6606
328,250,180020,6,4146,12.6402
329,180,180200,6,4152,12.6201
330,360,180560,6,4158,12.6
331,350,180910,6,4164,12.5801
332,260,181170,6,4170,12.5602
333,700,181870,7,4177,12.5435
334,360,182230,7,4184,12.5269
335,190,182420,7,4191,12.5104
336,190,182610,7,4198,12.494
337,370,182980,8,4206,12.4807
338,200,183180,8,4214,12.4675
339,540,183720,8,4222,12.4543
340,460,184180,8,4230,12.4412
341,480,184660,8,4238,12.4282
342,480,185140,9,4247,12.4181
343,310,185450,9,4256,12.4082
344,560,186010,9,4265,12.3983
345,470,186480,9,4274,12.3884
346,630,187110,9,4283,12.3786
347,650,187760,9,4292,12.3689
348,240,188000,9,4301,12.3592
349,220,188220,9,4310,12.3496
350,300,188520,9,4319,12.34
351,510,189030,12,4331,12.339
352,680,189710,12,4343,12.3381
353,420,190130,12,4355,12.3371
354,790,190920,12,4367,12.3362
355,860,191780,12,4379,12.3352
356,600,192380,12,4391,12.3343
357,700,193080,12,4403,12.3333
358,320,193400,12,4415,12.3324
359,400,193800,12,4427,12.3315
360,550,194350,13,4440,12.3333
361,590,194940,13,4453,12.3352
362,530,195470,13,4466,12.337
363,470,195940,13,4479,12.3388
364,440,196380,13,4492,12.3407
365,700,197080,14,4506,12.3452
366,540,197620,14,4520,12.3497
367,630,198250,14,4534,12.3542
368,540,198790,14,4548,12.3587
369,720,199510,14,4562,12.3631
370,740,200250,15,4577,12.3703
371,720,200970,15,4592,12.3774
372,630,201600,15,4607,12.3844
373,670,202270,15,4622,12.3914
374,570,202840,15,4637,12.3984
375,570,203410,15,4652,12.4053
376,810,204220,15,4667,12.4122
377,330,204550,15,4682,12.4191
378,560,205110,15,4697,12.4259
379,480,205590,15,4712,12.4327
380,660,206250,15,4727,12.4395
381,690,206940,18,4745,12.4541
382,570,207510,18,4763,12.4686
383,850,208360,18,4781,12.483
384,950,209310,18,4799,12.4974
385,700,210010,18,4817,12.5117
386,780,210790,18,4835,12.5259
387,780,211570,18,4853,12.5401
388,780,212350,18,4871,12.5541
389,700,213050,18,4889,12.5681
390,520,213570,18,4907,12.5821
391,670,214240,18,4925,12.5959
392,760,215000,18,4943,12.6097
393,800,215800,18,4961,12.6234
394,810,216610,18,4979,12.6371
395,700,217310,19,4998,12.6532
396,540,217850,19,5017,12.6692
397,730,218580,19,5036,12.6851
398,550,219130,19,5055,12.701
399,890,220020,19,5074,12.7168
400,870,220890,19,5093,12.7325
401,890,221780,19,5112,12.7481
402,620,222400,20,5132,12.7662
403,460,222860,20,5152,12.7841
404,880,223740,20,5172,12.802
405,1160,224900,20,5192,12.8198
406,960,225860,20,5212,12.8374
407,790,226650,20,5232,12.855
408,640,227290,20,5252,12.8725
409,900,228190,20,5272,12.89
410,990,229180,20,5292,12.9073
411,740,229920,21,5313,12.927
412,990,230910,21,5334,12.9466
413,870,231780,21,5355,12.9661
414,1240,233020,21,5376,12.9855
415,670,233690,21,5397,13.0048
416,770,234460,21,5418,13.024
417,680,235140,21,5439,13.0432
418,740,235880,21,5460,13.0622
419,920,236800,21,5481,13.0811
420,570,237370,21,5502,13.1
421,680,238050,21,5523,13.1188
422,660,238710,21,5544,13.1374
423,820,239530,21,5565,13.156
424,1020,240550,21,5586,13.1745
425,810,241360,21,5607,13.1929
426,1060,242420,21,5628,13.2113
427,840,243260,21,5649,13.2295
428,740,244000,21,5670,13.2477
429,970,244970,21,5691,13.2657
430,990,245960,21,5712,13.2837
431,830,246790,21,5733,13.3016
432,900,247690,21,5754,13.3194
433,1080,248770,21,5775,13.3372
434,1100,249870,21,5796,13.3548
435,580,250450,21,5817,13.3724
436,1080,251530,21,5838,13.3899
437,700,252230,21,5859,13.4073
