Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,20,20,1,1,0.125
9,20,40,1,2,0.222222
10,20,60,1,3,0.3
11,20,80,1,4,0.363636
12,40,120,2,6,0.5
13,40,160,2,8,0.615385
14,40,200,2,10,0.714286
15,40,240,2,12,0.8
16,50,290,3,15,0.9375
17,50,340,3,18,1.05882
18,50,390,3,21,1.16667
19,50,440,3,24,1.26316
20,50,490,3,27,1.35
21,50,540,3,30,1.42857
22,50,590,3,33,1.5
23,50,640,3,36,1.56522
24,50,690,3,39,1.625
25,180,870,6,45,1.8
26,180,1050,6,51,1.96154
27,180,1230,6,57,2.11111
28,180,1410,6,63,2.25
29,180,1590,6,69,2.37931
30,180,1770,6,75,2.5
31,180,1950,6,81,2.6129
32,180,2130,6,87,2.71875
33,190,2320,7,94,2.84848
34,190,2510,7,101,2.97059
35,190,2700,7,108,3.08571
36,190,2890,7,115,3.19444
37,210,3100,8,123,3.32432
38,210,3310,8,131,3.44737
39,210,3520,8,139,3.5641
40,210,3730,8,147,3.675
41,210,3940,8,155,3.78049
42,220,4160,9,164,3.90476
43,220,4380,9,173,4.02326
44,220,4600,9,182,4.13636
45,220,4820,9,191,4.24444
46,220,5040,9,200,4.34783
47,220,5260,9,209,4.44681
48,220,5480,9,218,4.54167
49,220,5700,9,227,4.63265
50,220,5920,9,236,4.72
51,360,6280,12,248,4.86275
52,360,6640,12,260,5
53,360,7000,12,272,5.13208
54,360,7360,12,284,5.25926
55,360,7720,12,296,5.38182
56,360,8080,12,308,5.5
57,360,8440,12,320,5.61404
58,360,8800,12,332,5.72414
59,360,9160,12,344,5.83051
60,370,9530,13,357,5.95
61,370,9900,13,370,6.06557
62,370,10270,13,383,6.17742
63,370,10640,13,396,6.28571
64,370,11010,13,409,6.39062
65,390,11400,14,423,6.50769
66,390,11790,14,437,6.62121
67,390,12180,14,451,6.73134
68,390,12570,14,465,6.83824
69,390,12960,14,479,6.94203
70,400,13360,15,494,7.05714
71,400,13760,15,509,7.16901
72,400,14160,15,524,7.27778
73,400,14560,15,539,7.38356
74,400,14960,15,554,7.48649
75,400,15360,15,569,7.58667
76,400,15760,15,584,7.68421
77,400,16160,15,599,7.77922
78,400,16560,15,614,7.87179
79,400,16960,15,629,7.96203
80,400,17360,15,644,8.05
81,450,17810,18,662,8.17284
82,450,18260,18,680,8.29268
83,450,18710,18,698,8.40964
84,450,19160,18,716,8.52381
85,450,19610,18,734,8.63529
86,450,20060,18,752,8.74419
87,450,20510,18,770,8.85057
88,450,20960,18,788,8.95455
89,450,21410,18,806,9.05618
90,450,21860,18,824,9.15556
91,450,22310,18,842,9.25275
92,450,22760,18,860,9.34783
93,450,23210,18,878,9.44086
94,450,23660,18,896,9.53191
95,460,24120,19,915,9.63158
96,460,24580,19,934,9.72917
97,460,25040,19,953,9.82474
98,460,25500,19,972,9.91837
99,460,25960,19,991,10.0101
100,460,26420,19,1010,10.1
101,460,26880,19,1029,10.1881
102,480,27360,20,1049,10.2843
103,480,27840,20,1069,10.3786
104,480,28320,20,1089,10.4712
105,480,28800,20,1109,10.5619
106,480,29280,20,1129,10.6509
107,480,29760,20,1149,10.7383
108,480,30240,20,1169,10.8241
109,480,30720,20,1189,10.9083
110,480,31200,20,1209,10.9909
111,500,31700,21,1230,11.0811
112,500,32200,21,1251,11.1696
113,500,32700,21,1272,11.2566
114,500,33200,21,1293,11.3421
115,500,33700,21,1314,11.4261
116,500,34200,21,1335,11.5086
117,500,34700,21,1356,11.5897
118,500,35200,21,1377,11.6695
119,500,35700,21,1398,11.7479
120,500,36200,21,1419,11.825
121,500,36700,21,1440,11.9008
122,500,37200,21,1461,11.9754
123,500,37700,21,1482,12.0488
124,500,38200,21,1503,12.121
125,500,38700,21,1524,12.192
126,500,39200,21,1545,12.2619
127,500,39700,21,1566,12.3307
128,500,40200,21,1587,12.3984
129,500,40700,21,1608,12.4651
130,500,41200,21,1629,12.5308
131,500,41700,21,1650,12.5954
132,500,42200,21,1671,12.6591
133,500,42700,21,1692,12.7218
134,500,43200,21,1713,12.7836
135,500,43700,21,1734,12.8444
136,500,44200,21,1755,12.9044
137,500,44700,21,1776,12.9635
138,500,45200,21,1797,13.0217
139,500,45700,21,1818,13.0791
140,500,46200,21,1839,13.1357
141,500,46700,21,1860,13.1915
142,500,47200,21,1881,13.2465
143,500,47700,21,1902,13.3007
144,500,48200,21,1923,13.3542
145,500,48700,21,1944,13.4069
146,500,49200,21,1965,13.4589
147,500,49700,21,1986,13.5102
148,500,50200,21,2007,13.5608
149,500,50700,21,2028,13.6107
150,630,51330,24,2052,13.68
151,500,51830,21,2073,13.7285
152,500,52330,21,2094,13.7763
153,500,52830,21,2115,13.8235
154,500,53330,21,2136,13.8701
155,500,53830,21,2157,13.9161
156,500,54330,21,2178,13.9615
157,500,54830,21,2199,14.0064
158,500,55330,21,2220,14.0506
159,500,55830,21,2241,14.0943
160,500,56330,21,2262,14.1375
161,500,56830,21,2283,14.1801
162,500,57330,21,2304,14.2222
163,500,57830,21,2325,14.2638
164,500,58330,21,2346,14.3049
165,500,58830,21,2367,14.3455
166,500,59330,21,2388,14.3855
167,500,59830,21,2409,14.4251
168,500,60330,21,2430,14.4643
169,500,60830,21,2451,14.503
170,500,61330,21,2472,14.5412
171,500,61830,21,2493,14.5789
172,500,62330,21,2514,14.6163
173,500,62830,21,2535,14.6532
174,500,63330,21,2556,14.6897
175,500,63830,21,2577,14.7257
176,500,64330,21,2598,14.7614
177,500,64830,21,2619,14.7966
178,500,65330,21,2640,14.8315
179,500,65830,21,2661,14.8659
180,500,66330,21,2682,14.9
181,500,66830,21,2703,14.9337
182,500,67330,21,2724,14.967
183,500,67830,21,2745,15
184,500,68330,21,2766,15.0326
185,500,68830,21,2787,15.0649
186,500,69330,21,2808,15.0968
187,500,69830,21,2829,15.1283
188,500,70330,21,2850,15.1596
189,500,70830,21,2871,15.1905
190,480,71310,20,2891,15.2158
191,480,71790,20,2911,15.2408
192,480,72270,20,2931,15.2656
193,480,72750,20,2951,15.2902
194,480,73230,20,2971,15.3144
195,480,73710,20,2991,15.3385
196,480,74190,20,3011,15.3622
197,480,74670,20,3031,15.3858
198,480,75150,20,3051,15.4091
199,460,75610,19,3070,15.4271
200,460,76070,19,3089,15.445
201,460,76530,19,3108,15.4627
202,460,76990,19,3127,15.4802
203,460,77450,19,3146,15.4975
204,460,77910,19,3165,15.5147
205,460,78370,19,3184,15.5317
206,450,78820,18,3202,15.5437
207,450,79270,18,3220,15.5556
208,450,79720,18,3238,15.5673
209,450,80170,18,3256,15.5789
210,450,80620,18,3274,15.5905
211,450,81070,18,3292,15.6019
212,450,81520,18,3310,15.6132
213,450,81970,18,3328,15.6244
214,450,82420,18,3346,15.6355
215,450,82870,18,3364,15.6465
216,450,83320,18,3382,15.6574
217,450,83770,18,3400,15.6682
218,450,84220,18,3418,15.6789
219,450,84670,18,3436,15.6895
220,400,85070,15,3451,15.6864
221,400,85470,15,3466,15.6833
222,400,85870,15,3481,15.6802
223,400,86270,15,3496,15.6771
224,400,86670,15,3511,15.6741
225,400,87070,15,3526,15.6711
226,400,87470,15,3541,15.6681
227,400,87870,15,3556,15.6652
228,400,88270,15,3571,15.6623
229,400,88670,15,3586,15.6594
230,400,89070,15,3601,15.6565
231,390,89460,14,3615,15.6494
232,390,89850,14,3629,15.6422
233,390,90240,14,3643,15.6352
234,390,90630,14,3657,15.6282
235,390,91020,14,3671,15.6213
236,370,91390,13,3684,15.6102
237,370,91760,13,3697,15.5992
238,370,92130,13,3710,15.5882
239,370,92500,13,3723,15.5774
240,370,92870,13,3736,15.5667
241,360,93230,12,3748,15.5519
242,360,93590,12,3760,15.5372
243,360,93950,12,3772,15.5226
244,360,94310,12,3784,15.5082
245,360,94670,12,3796,15.4939
246,360,95030,12,3808,15.4797
247,360,95390,12,3820,15.4656
248,360,95750,12,3832,15.4516
249,360,96110,12,3844,15.4378
250,360,96470,12,3856,15.424
251,220,96690,9,3865,15.3984
252,220,96910,9,3874,15.373
253,220,97130,9,3883,15.3478
254,220,97350,9,3892,15.3228
255,220,97570,9,3901,15.298
256,220,97790,9,3910,15.2734
257,220,98010,9,3919,15.249
258,220,98230,9,3928,15.2248
259,210,98440,8,3936,15.1969
260,210,98650,8,3944,15.1692
261,210,98860,8,3952,15.1418
262,210,99070,8,3960,15.1145
263,210,99280,8,3968,15.0875
264,190,99470,7,3975,15.0568
265,190,99660,7,3982,15.0264
266,190,99850,7,3989,14.9962
267,190,100040,7,3996,14.9663
268,180,100220,6,4002,14.9328
269,180,100400,6,4008,14.8996
270,180,100580,6,4014,14.8667
271,180,100760,6,4020,14.8339
272,180,100940,6,4026,14.8015
273,180,101120,6,4032,14.7692
274,180,101300,6,4038,14.7372
275,180,101480,6,4044,14.7055
276,50,101530,3,4047,14.663
277,50,101580,3,4050,14.6209
278,50,101630,3,4053,14.5791
279,50,101680,3,4056,14.5376
280,50,101730,3,4059,14.4964
281,50,101780,3,4062,14.4555
282,50,101830,3,4065,14.4149
283,50,101880,3,4068,14.3746
284,50,101930,3,4071,14.3345
285,40,101970,2,4073,14.2912
286,40,102010,2,4075,14.2483
287,40,102050,2,4077,14.2056
288,40,102090,2,4079,14.1632
289,20,102110,1,4080,14.1176
290,20,102130,1,4081,14.0724
291,20,102150,1,4082,14.0275
292,20,102170,1,4083,13.9829
293,0,102170,0,4083,13.9352
294,0,102170,0,4083,13.8878
295,0,102170,0,4083,13.8407
296,0,102170,0,4083,13.7939
297,0,102170,0,4083,13.7475
298,0,102170,0,4083,13.7013
299,0,102170,0,4083,13.6555
300,0,102170,0,4083,13.61
301,0,102170,0,4083,13.5648
302,0,102170,0,4083,13.5199
303,0,102170,0,4083,13.4752
304,0,102170,0,4083,13.4309
305,0,102170,0,4083,13.3869
306,0,102170,0,4083,13.3431
307,0,102170,0,4083,13.2997
308,20,102190,1,4084,13.2597
309,20,102210,1,4085,13.2201
310,20,102230,1,4086,13.1806
311,20,102250,1,4087,13.1415
312,40,102290,2,4089,13.1058
313,40,102330,2,4091,13.0703
314,40,102370,2,4093,13.035
315,40,102410,2,4095,13
316,50,102460,3,4098,12.9684
317,50,102510,3,4101,12.9369
318,50,102560,3,4104,12.9057
319,50,102610,3,4107,12.8746
320,50,102660,3,4110,12.8438
321,50,102710,3,4113,12.8131
322,50,102760,3,4116,12.7826
323,50,102810,3,4119,12.7523
324,50,102860,3,4122,12.7222
325,180,103040,6,4128,12.7015
326,180,103220,6,4134,12.681
327,180,103400,6,4140,12.6606
328,180,103580,6,4146,12.6402
329,180,103760,6,4152,12.6201
330,180,103940,6,4158,12.6
331,180,104120,6,4164,12.5801
332,180,104300,6,4170,12.5602
333,190,104490,7,4177,12.5435
334,190,104680,7,4184,12.5269
335,190,104870,7,4191,12.5104
336,190,105060,7,4198,12.494
337,210,105270,8,4206,12.4807
338,210,105480,8,4214,12.4675
339,210,105690,8,4222,12.4543
340,210,105900,8,4230,12.4412
341,210,106110,8,4238,12.4282
342,220,106330,9,4247,12.4181
343,220,106550,9,4256,12.4082
344,220,106770,9,4265,12.3983
345,220,106990,9,4274,12.3884
346,220,107210,9,4283,12.3786
347,220,107430,9,4292,12.3689
348,220,107650,9,4301,12.3592
349,220,107870,9,4310,12.3496
350,220,108090,9,4319,12.34
351,360,108450,12,4331,12.339
352,360,108810,12,4343,12.3381
353,360,109170,12,4355,12.3371
354,360,109530,12,4367,12.3362
355,360,109890,12,4379,12.3352
356,360,110250,12,4391,12.3343
357,360,110610,12,4403,12.3333
358,360,110970,12,4415,12.3324
359,360,111330,12,4427,12.3315
360,370,111700,13,4440,12.3333
361,370,112070,13,4453,12.3352
362,370,112440,13,4466,12.337
363,370,112810,13,4479,12.3388
364,370,113180,13,4492,12.3407
365,390,113570,14,4506,12.3452
366,390,113960,14,4520,12.3497
367,390,114350,14,4534,12.3542
368,390,114740,14,4548,12.3587
369,390,115130,14,4562,12.3631
370,400,115530,15,4577,12.3703
371,400,115930,15,4592,12.3774
372,400,116330,15,4607,12.3844
373,400,116730,15,4622,12.3914
374,400,117130,15,4637,12.3984
375,400,117530,15,4652,12.4053
376,400,117930,15,4667,12.4122
377,400,118330,15,4682,12.4191
378,400,118730,15,4697,12.4259
379,400,119130,15,4712,12.4327
380,400,119530,15,4727,12.4395
381,450,119980,18,4745,12.4541
382,450,120430,18,4763,12.4686
383,450,120880,18,4781,12.483
384,450,121330,18,4799,12.4974
385,450,121780,18,4817,12.5117
386,450,122230,18,4835,12.5259
387,450,122680,18,4853,12.5401
388,450,123130,18,4871,12.5541
389,450,123580,18,4889,12.5681
390,450,124030,18,4907,12.5821
391,450,124480,18,4925,12.5959
392,450,124930,18,4943,12.6097
393,450,125380,18,4961,12.6234
394,450,125830,18,4979,12.6371
395,460,126290,19,4998,12.6532
396,460,126750,19,5017,12.6692
397,460,127210,19,5036,12.6851
398,460,127670,19,5055,12.701
399,460,128130,19,5074,12.7168
400,460,128590,19,5093,12.7325
401,460,129050,19,5112,12.7481
402,480,129530,20,5132,12.7662
403,480,130010,20,5152,12.7841
404,480,130490,20,5172,12.802
405,480,130970,20,5192,12.8198
406,480,131450,20,5212,12.8374
407,480,131930,20,5232,12.855
408,480,132410,20,5252,12.8725
409,480,132890,20,5272,12.89
410,480,133370,20,5292,12.9073
411,500,133870,21,5313,12.927
412,500,134370,21,5334,12.9466
413,500,134870,21,5355,12.9661
414,500,135370,21,5376,12.9855
415,500,135870,21,5397,13.0048
416,500,136370,21,5418,13.024
417,500,136870,21,5439,13.0432
418,500,137370,21,5460,13.0622
419,500,137870,21,5481,13.0811
420,500,138370,21,5502,13.1
421,500,138870,21,5523,13.1188
422,500,139370,21,5544,13.1374
423,500,139870,21,5565,13.156
424,500,140370,21,5586,13.1745
425,500,140870,21,5607,13.1929
426,500,141370,21,5628,13.2113
427,500,141870,21,5649,13.2295
428,500,142370,21,5670,13.2477
429,500,142870,21,5691,13.2657
430,500,143370,21,5712,13.2837
431,500,143870,21,5733,13.3016
432,500,144370,21,5754,13.3194
433,500,144870,21,5775,13.3372
434,500,145370,21,5796,13.3548
435,500,145870,21,5817,13.3724
436,500,146370,21,5838,13.3899
437,500,146870,21,5859,13.4073
438,500,147370,21,5880,13.4247
439,500,147870,21,5901,13.4419
440,500,148370,21,5922,13.4591
