Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,10,10,1,1,0.125
9,10,20,1,2,0.222222
10,10,30,1,3,0.3
11,10,40,1,4,0.363636
12,30,70,2,6,0.5
13,30,100,2,8,0.615385
14,30,130,2,10,0.714286
15,30,160,2,12,0.8
16,130,290,3,15,0.9375
17,130,420,3,18,1.05882
18,130,550,3,21,1.16667
19,130,680,3,24,1.26316
20,130,810,3,27,1.35
21,130,940,3,30,1.42857
22,130,1070,3,33,1.5
23,130,1200,3,36,1.56522
24,130,1330,3,39,1.625
25,260,1590,6,45,1.8
26,260,1850,6,51,1.96154
27,260,2110,6,57,2.11111
28,260,2370,6,63,2.25
29,260,2630,6,69,2.37931
30,260,2890,6,75,2.5
31,260,3150,6,81,2.6129
32,260,3410,6,87,2.71875
33,270,3680,7,94,2.84848
34,270,3950,7,101,2.97059
35,270,4220,7,108,3.08571
36,270,4490,7,115,3.19444
37,290,4780,8,123,3.32432
38,290,5070,8,131,3.44737
39,290,5360,8,139,3.5641
40,290,5650,8,147,3.675
41,290,5940,8,155,3.78049
42,390,6330,9,164,3.90476
43,390,6720,9,173,4.02326
44,390,7110,9,182,4.13636
45,390,7500,9,191,4.24444
46,390,7890,9,200,4.34783
47,390,8280,9,209,4.44681
48,390,8670,9,218,4.54167
49,390,9060,9,227,4.63265
50,390,9450,9,236,4.72
51,520,9970,12,248,4.86275
52,520,10490,12,260,5
53,520,11010,12,272,5.13208
54,520,11530,12,284,5.25926
55,520,12050,12,296,5.38182
56,520,12570,12,308,5.5
57,520,13090,12,320,5.61404
58,520,13610,12,332,5.72414
59,520,14130,12,344,5.83051
60,530,14660,13,357,5.95
61,530,15190,13,370,6.06557
62,530,15720,13,383,6.17742
63,530,16250,13,396,6.28571
64,530,16780,13,409,6.39062
65,550,17330,14,423,6.50769
66,550,17880,14,437,6.62121
67,550,18430,14,451,6.73134
68,550,18980,14,465,6.83824
69,550,19530,14,479,6.94203
70,650,20180,15,494,7.05714
71,650,20830,15,509,7.16901
72,650,21480,15,524,7.27778
73,650,22130,15,539,7.38356
74,650,22780,15,554,7.48649
75,650,23430,15,569,7.58667
76,650,24080,15,584,7.68421
77,650,24730,15,599,7.77922
78,650,25380,15,614,7.87179
79,650,26030,15,629,7.96203
80,650,26680,15,644,8.05
81,780,27460,18,662,8.17284
82,780,28240,18,680,8.29268
83,780,29020,18,698,8.40964
84,780,29800,18,716,8.52381
85,780,30580,18,734,8.63529
86,780,31360,18,752,8.74419
87,780,32140,18,770,8.85057
88,780,32920,18,788,8.95455
89,780,33700,18,806,9.05618
90,780,34480,18,824,9.15556
91,780,35260,18,842,9.25275
92,780,36040,18,860,9.34783
93,780,36820,18,878,9.44086
94,780,37600,18,896,9.53191
95,790,38390,19,915,9.63158
96,790,39180,19,934,9.72917
97,790,39970,19,953,9.82474
98,790,40760,19,972,9.91837
99,790,41550,19,991,10.0101
100,790,42340,19,1010,10.1
101,790,43130,19,1029,10.1881
102,810,43940,20,1049,10.2843
103,810,44750,20,1069,10.3786
104,810,45560,20,1089,10.4712
105,810,46370,20,1109,10.5619
106,810,47180,20,1129,10.6509
107,810,47990,20,1149,10.7383
108,810,48800,20,1169,10.8241
109,810,49610,20,1189,10.9083
110,810,50420,20,1209,10.9909
111,910,51330,21,1230,11.0811
112,910,52240,21,1251,11.1696
113,910,53150,21,1272,11.2566
114,910,54060,21,1293,11.3421
115,910,54970,21,1314,11.4261
116,910,55880,21,1335,11.5086
117,910,56790,21,1356,11.5897
118,910,57700,21,1377,11.6695
119,910,58610,21,1398,11.7479
120,910,59520,21,1419,11.825
121,910,60430,21,1440,11.9008
122,910,61340,21,1461,11.9754
123,910,62250,21,1482,12.0488
124,910,63160,21,1503,12.121
125,910,64070,21,1524,12.192
126,910,64980,21,1545,12.2619
127,910,65890,21,1566,12.3307
128,910,66800,21,1587,12.3984
129,910,67710,21,1608,12.4651
130,910,68620,21,1629,12.5308
131,910,69530,21,1650,12.5954
132,910,70440,21,1671,12.6591
133,910,71350,21,1692,12.7218
134,910,72260,21,1713,12.7836
135,910,73170,21,1734,12.8444
136,910,74080,21,1755,12.9044
137,910,74990,21,1776,12.9635
138,910,75900,21,1797,13.0217
139,910,76810,21,1818,13.0791
140,910,77720,21,1839,13.1357
141,910,78630,21,1860,13.1915
142,910,79540,21,1881,13.2465
143,910,80450,21,1902,13.3007
144,910,81360,21,1923,13.3542
145,910,82270,21,1944,13.4069
146,910,83180,21,1965,13.4589
147,910,84090,21,1986,13.5102
148,910,85000,21,2007,13.5608
149,910,85910,21,2028,13.6107
150,1040,86950,24,2052,13.68
151,910,87860,21,2073,13.7285
152,910,88770,21,2094,13.7763
153,910,89680,21,2115,13.8235
154,910,90590,21,2136,13.8701
155,910,91500,21,2157,13.9161
156,910,92410,21,2178,13.9615
157,910,93320,21,2199,14.0064
158,910,94230,21,2220,14.0506
159,910,95140,21,2241,14.0943
160,910,96050,21,2262,14.1375
161,910,96960,21,2283,14.1801
162,910,97870,21,2304,14.2222
163,910,98780,21,2325,14.2638
164,910,99690,21,2346,14.3049
165,910,100600,21,2367,14.3455
166,910,101510,21,2388,14.3855
167,910,102420,21,2409,14.4251
168,910,103330,21,2430,14.4643
169,910,104240,21,2451,14.503
170,910,105150,21,2472,14.5412
171,910,106060,21,2493,14.5789
172,910,106970,21,2514,14.6163
173,910,107880,21,2535,14.6532
174,910,108790,21,2556,14.6897
175,910,109700,21,2577,14.7257
176,910,110610,21,2598,14.7614
177,910,111520,21,2619,14.7966
178,910,112430,21,2640,14.8315
179,910,113340,21,2661,14.8659
180,910,114250,21,2682,14.9
181,910,115160,21,2703,14.9337
182,910,116070,21,2724,14.967
183,910,116980,21,2745,15
184,910,117890,21,2766,15.0326
185,910,118800,21,2787,15.0649
186,910,119710,21,2808,15.0968
187,910,120620,21,2829,15.1283
188,910,121530,21,2850,15.1596
189,910,122440,21,2871,15.1905
190,810,123250,20,2891,15.2158
191,810,124060,20,2911,15.2408
192,810,124870,20,2931,15.2656
193,810,125680,20,2951,15.2902
194,810,126490,20,2971,15.3144
195,810,127300,20,2991,15.3385
196,810,128110,20,3011,15.3622
197,810,128920,20,3031,15.3858
198,810,129730,20,3051,15.4091
199,790,130520,19,3070,15.4271
200,790,131310,19,3089,15.445
201,790,132100,19,3108,15.4627
202,790,132890,19,3127,15.4802
203,790,133680,19,3146,15.4975
204,790,134470,19,3165,15.5147
205,790,135260,19,3184,15.5317
206,780,136040,18,3202,15.5437
207,780,136820,18,3220,15.5556
208,780,137600,18,3238,15.5673
209,780,138380,18,3256,15.5789
210,780,139160,18,3274,15.5905
211,780,139940,18,3292,15.6019
212,780,140720,18,3310,15.6132
213,780,141500,18,3328,15.6244
214,780,142280,18,3346,15.6355
215,780,143060,18,3364,15.6465
216,780,143840,18,3382,15.6574
217,780,144620,18,3400,15.6682
218,780,145400,18,3418,15.6789
219,780,146180,18,3436,15.6895
220,650,146830,15,3451,15.6864
221,650,147480,15,3466,15.6833
222,650,148130,15,3481,15.6802
223,650,148780,15,3496,15.6771
224,650,149430,15,3511,15.6741
225,650,150080,15,3526,15.6711
226,650,150730,15,3541,15.6681
227,650,151380,15,3556,15.6652
228,650,152030,15,3571,15.6623
229,650,152680,15,3586,15.6594
230,650,153330,15,3601,15.6565
231,550,153880,14,3615,15.6494
232,550,154430,14,3629,15.6422
233,550,154980,14,3643,15.6352
234,550,155530,14,3657,15.6282
235,550,156080,14,3671,15.6213
236,530,156610,13,3684,15.6102
237,530,157140,13,3697,15.5992
238,530,157670,13,3710,15.5882
239,530,158200,13,3723,15.5774
240,530,158730,13,3736,15.5667
241,520,159250,12,3748,15.5519
242,520,159770,12,3760,15.5372
243,520,160290,12,3772,15.5226
244,520,160810,12,3784,15.5082
245,520,161330,12,3796,15.4939
246,520,161850,12,3808,15.4797
247,520,162370,12,3820,15.4656
248,520,162890,12,3832,15.4516
249,520,163410,12,3844,15.4378
250,520,163930,12,3856,15.424
251,390,164320,9,3865,15.3984
252,390,164710,9,3874,15.373
253,390,165100,9,3883,15.3478
254,390,165490,9,3892,15.3228
255,390,165880,9,3901,15.298
256,390,166270,9,3910,15.2734
257,390,166660,9,3919,15.249
258,390,167050,9,3928,15.2248
259,290,167340,8,3936,15.1969
260,290,167630,8,3944,15.1692
261,290,167920,8,3952,15.1418
262,290,168210,8,3960,15.1145
263,290,168500,8,3968,15.0875
264,270,168770,7,3975,15.0568
265,270,169040,7,3982,15.0264
266,270,169310,7,3989,14.9962
267,270,169580,7,3996,14.9663
268,260,169840,6,4002,14.9328
269,260,170100,6,4008,14.8996
270,260,170360,6,4014,14.8667
271,260,170620,6,4020,14.8339
272,260,170880,6,4026,14.8015
273,260,171140,6,4032,14.7692
274,260,171400,6,4038,14.7372
275,260,171660,6,4044,14.7055
276,130,171790,3,4047,14.663
277,130,171920,3,4050,14.6209
278,130,172050,3,4053,14.5791
279,130,172180,3,4056,14.5376
280,130,172310,3,4059,14.4964
281,130,172440,3,4062,14.4555
282,130,172570,3,4065,14.4149
283,130,172700,3,4068,14.3746
284,130,172830,3,4071,14.3345
285,30,172860,2,4073,14.2912
286,30,172890,2,4075,14.2483
287,30,172920,2,4077,14.2056
288,30,172950,2,4079,14.1632
289,10,172960,1,4080,14.1176
290,10,172970,1,4081,14.0724
291,10,172980,1,4082,14.0275
292,10,172990,1,4083,13.9829
293,0,172990,0,4083,13.9352
294,0,172990,0,4083,13.8878
295,0,172990,0,4083,13.8407
296,0,172990,0,4083,13.7939
297,0,172990,0,4083,13.7475
298,0,172990,0,4083,13.7013
299,0,172990,0,4083,13.6555
300,0,172990,0,4083,13.61
301,0,172990,0,4083,13.5648
302,0,172990,0,4083,13.5199
303,0,172990,0,4083,13.4752
304,0,172990,0,4083,13.4309
305,0,172990,0,4083,13.3869
306,0,172990,0,4083,13.3431
307,0,172990,0,4083,13.2997
308,10,173000,1,4084,13.2597
309,10,173010,1,4085,13.2201
310,10,173020,1,4086,13.1806
311,10,173030,1,4087,13.1415
312,30,173060,2,4089,13.1058
313,30,173090,2,4091,13.0703
314,30,173120,2,4093,13.035
315,30,173150,2,4095,13
316,130,173280,3,4098,12.9684
317,130,173410,3,4101,12.9369
318,130,173540,3,4104,12.9057
319,130,173670,3,4107,12.8746
320,130,173800,3,4110,12.8438
321,130,173930,3,4113,12.8131
322,130,174060,3,4116,12.7826
323,130,174190,3,4119,12.7523
324,130,174320,3,4122,12.7222
325,260,174580,6,4128,12.7015
326,260,174840,6,4134,12.681
327,260,175100,6,4140,12.6606
328,260,175360,6,4146,12.6402
329,260,175620,6,4152,12.6201
330,260,175880,6,4158,12.6
331,260,176140,6,4164,12.5801
332,260,176400,6,4170,12.5602
333,270,176670,7,4177,12.5435
334,270,176940,7,4184,12.5269
335,270,177210,7,4191,12.5104
336,270,177480,7,4198,12.494
337,290,177770,8,4206,12.4807
338,290,178060,8,4214,12.4675
339,290,178350,8,4222,12.4543
340,290,178640,8,4230,12.4412
341,290,178930,8,4238,12.4282
342,390,179320,9,4247,12.4181
343,390,179710,9,4256,12.4082
344,390,180100,9,4265,12.3983
345,390,180490,9,4274,12.3884
346,390,180880,9,4283,12.3786
347,390,181270,9,4292,12.3689
348,390,181660,9,4301,12.3592
349,390,182050,9,4310,12.3496
350,390,182440,9,4319,12.34
351,520,182960,12,4331,12.339
352,520,183480,12,4343,12.3381
353,520,184000,12,4355,12.3371
354,520,184520,12,4367,12.3362
355,520,185040,12,4379,12.3352
356,520,185560,12,4391,12.3343
357,520,186080,12,4403,12.3333
358,520,186600,12,4415,12.3324
359,520,187120,12,4427,12.3315
360,530,187650,13,4440,12.3333
361,530,188180,13,4453,12.3352
362,530,188710,13,4466,12.337
363,530,189240,13,4479,12.3388
364,530,189770,13,4492,12.3407
365,550,190320,14,4506,12.3452
366,550,190870,14,4520,12.3497
367,550,191420,14,4534,12.3542
368,550,191970,14,4548,12.3587
369,550,192520,14,4562,12.3631
370,650,193170,15,4577,12.3703
371,650,193820,15,4592,12.3774
372,650,194470,15,4607,12.3844
373,650,195120,15,4622,12.3914
374,650,195770,15,4637,12.3984
375,650,196420,15,4652,12.4053
376,650,197070,15,4667,12.4122
377,650,197720,15,4682,12.4191
378,650,198370,15,4697,12.4259
379,650,199020,15,4712,12.4327
380,650,199670,15,4727,12.4395
381,780,200450,18,4745,12.4541
382,780,201230,18,4763,12.4686
383,780,202010,18,4781,12.483
384,780,202790,18,4799,12.4974
385,780,203570,18,4817,12.5117
386,780,204350,18,4835,12.5259
387,780,205130,18,4853,12.5401
388,780,205910,18,4871,12.5541
389,780,206690,18,4889,12.5681
390,780,207470,18,4907,12.5821
391,780,208250,18,4925,12.5959
392,780,209030,18,4943,12.6097
393,780,209810,18,4961,12.6234
394,780,210590,18,4979,12.6371
395,790,211380,19,4998,12.6532
396,790,212170,19,5017,12.6692
397,790,212960,19,5036,12.6851
398,790,213750,19,5055,12.701
399,790,214540,19,5074,12.7168
400,790,215330,19,5093,12.7325
401,790,216120,19,5112,12.7481
402,810,216930,20,5132,12.7662
403,810,217740,20,5152,12.7841
404,810,218550,20,5172,12.802
405,810,219360,20,5192,12.8198
406,810,220170,20,5212,12.8374
407,810,220980,20,5232,12.855
408,810,221790,20,5252,12.8725
409,810,222600,20,5272,12.89
410,810,223410,20,5292,12.9073
411,910,224320,21,5313,12.927
412,910,225230,21,5334,12.9466
413,910,226140,21,5355,12.9661
414,910,227050,21,5376,12.9855
415,910,227960,21,5397,13.0048
416,910,228870,21,5418,13.024
417,910,229780,21,5439,13.0432
418,910,230690,21,5460,13.0622
419,910,231600,21,5481,13.0811
420,910,232510,21,5502,13.1
421,910,233420,21,5523,13.1188
422,910,234330,21,5544,13.1374
423,910,235240,21,5565,13.156
424,910,236150,21,5586,13.1745
425,910,237060,21,5607,13.1929
426,910,237970,21,5628,13.2113
427,910,238880,21,5649,13.2295
428,910,239790,21,5670,13.2477
429,910,240700,21,5691,13.2657
430,910,241610,21,5712,13.2837
431,910,242520,21,5733,13.3016
432,910,243430,21,5754,13.3194
433,910,244340,21,5775,13.3372
434,910,245250,21,5796,13.3548
435,910,246160,21,5817,13.3724
436,910,247070,21,5838,13.3899
437,910,247980,21,5859,13.4073
438,910,248890,21,5880,13.4247
439,910,249800,21,5901,13.4419
