Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,120,120,2,2,2
2,120,240,2,4,2
3,0,240,0,4,1.33333
4,0,240,0,4,1
5,20,260,1,5,1
6,0,260,0,5,0.833333
7,0,260,0,5,0.714286
8,100,360,1,6,0.75
9,100,460,1,7,0.777778
10,20,480,1,8,0.8
11,20,500,1,9,0.818182
12,30,530,2,11,0.916667
13,150,680,5,16,1.23077
14,120,800,2,18,1.28571
15,120,920,2,20,1.33333
16,50,970,3,23,1.4375
17,140,1110,3,26,1.52941
18,350,1460,6,32,1.77778
19,140,1600,3,35,1.84211
20,210,1810,3,38,1.9
21,60,1870,3,41,1.95238
22,220,2090,3,44,2
23,20,2110,2,46,2
24,60,2170,3,49,2.04167
25,340,2510,6,55,2.2
26,370,2880,8,63,2.42308
27,360,3240,7,70,2.59259
28,430,3670,7,77,2.75
29,350,4020,7,84,2.89655
30,150,4170,4,88,2.93333
31,190,4360,7,95,3.06452
32,90,4450,5,100,3.125
33,190,4640,7,107,3.24242
34,360,5000,7,114,3.35294
35,270,5270,7,121,3.45714
36,450,5720,8,129,3.58333
37,280,6000,7,136,3.67568
38,220,6220,8,144,3.78947
39,300,6520,8,152,3.89744
40,270,6790,7,159,3.975
41,270,7060,7,166,4.04878
42,510,7570,11,177,4.21429
43,260,7830,6,183,4.25581
44,380,8210,8,191,4.34091
45,300,8510,9,200,4.44444
46,370,8880,9,209,4.54348
47,370,9250,8,217,4.61702
48,300,9550,9,226,4.70833
49,290,9840,9,235,4.79592
50,500,10340,11,246,4.92
51,510,10850,12,258,5.05882
52,780,11630,14,272,5.23077
53,340,11970,12,284,5.35849
54,350,12320,12,296,5.48148
55,510,12830,12,308,5.6
56,310,13140,11,319,5.69643
57,340,13480,12,331,5.80702
58,610,14090,11,342,5.89655
59,450,14540,12,354,6
60,590,15130,13,367,6.11667
61,860,15990,13,380,6.22951
62,540,16530,14,394,6.35484
63,1030,17560,13,407,6.46032
64,720,18280,13,420,6.5625
65,640,18920,14,434,6.67692
66,610,19530,13,447,6.77273
67,650,20180,13,460,6.86567
68,380,20560,13,473,6.95588
69,480,21040,10,483,7
70,590,21630,16,499,7.12857
71,640,22270,15,514,7.23944
72,460,22730,14,528,7.33333
73,560,23290,15,543,7.43836
74,920,24210,16,559,7.55405
75,740,24950,16,575,7.66667
76,720,25670,13,588,7.73684
77,860,26530,17,605,7.85714
78,590,27120,15,620,7.94872
79,740,27860,14,634,8.02532
80,740,28600,14,648,8.1
81,870,29470,19,667,8.23457
