Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,40,40,2,2,2
2,0,40,0,2,1
3,20,60,1,3,1
4,0,60,0,3,0.75
5,100,160,1,4,0.8
6,0,160,0,4,0.666667
7,0,160,0,4,0.571429
8,30,190,2,6,0.75
9,60,250,4,10,1.11111
10,20,270,1,11,1.1
11,20,290,1,12,1.09091
12,140,430,3,15,1.25
13,50,480,3,18,1.38462
14,80,560,5,23,1.64286
15,80,640,4,27,1.8
16,50,690,3,30,1.875
17,50,740,3,33,1.94118
18,50,790,3,36,2
19,150,940,4,40,2.10526
20,50,990,3,43,2.15
21,150,1140,4,47,2.2381
22,190,1330,6,53,2.40909
23,60,1390,4,57,2.47826
24,20,1410,1,58,2.41667
25,190,1600,6,64,2.56
26,190,1790,6,70,2.69231
27,150,1940,4,74,2.74074
28,190,2130,6,80,2.85714
29,190,2320,6,86,2.96552
30,190,2510,6,92,3.06667
31,190,2700,6,98,3.16129
32,70,2770,4,102,3.1875
33,200,2970,7,109,3.30303
34,200,3170,7,116,3.41176
35,100,3270,6,122,3.48571
36,250,3520,10,132,3.66667
37,220,3740,8,140,3.78378
38,220,3960,8,148,3.89474
39,260,4220,11,159,4.07692
40,220,4440,8,167,4.175
41,280,4720,7,174,4.2439
42,230,4950,9,183,4.35714
43,230,5180,9,192,4.46512
44,230,5410,9,201,4.56818
45,230,5640,9,210,4.66667
46,210,5850,8,218,4.73913
47,230,6080,9,227,4.82979
48,230,6310,9,236,4.91667
49,170,6480,5,241,4.91837
50,270,6750,11,252,5.04
51,340,7090,10,262,5.13725
52,370,7460,12,274,5.26923
53,330,7790,10,284,5.35849
54,400,8190,14,298,5.51852
55,290,8480,13,311,5.65455
56,370,8850,12,323,5.76786
57,410,9260,14,337,5.91228
58,370,9630,12,349,6.01724
59,290,9920,12,361,6.11864
60,380,10300,13,374,6.23333
61,380,10680,13,387,6.34426
62,360,11040,12,399,6.43548
63,380,11420,13,412,6.53968
64,380,11800,13,425,6.64062
65,400,12200,14,439,6.75385
66,360,12560,11,450,6.81818
67,400,12960,14,464,6.92537
68,400,13360,14,478,7.02941
69,400,13760,14,492,7.13043
70,420,14180,15,507,7.24286
71,420,14600,15,522,7.35211
72,420,15020,15,537,7.45833
73,320,15340,14,551,7.54795
74,420,15760,15,566,7.64865
75,420,16180,15,581,7.74667
76,450,16630,17,598,7.86842
77,300,16930,13,611,7.93506
78,420,17350,15,626,8.02564
79,420,17770,15,641,8.11392
80,420,18190,15,656,8.2
81,470,18660,18,674,8.32099
82,510,19170,21,695,8.47561
83,550,19720,18,713,8.59036
84,470,20190,18,731,8.70238
85,470,20660,18,749,8.81176
86,470,21130,18,767,8.9186
87,510,21640,20,787,9.04598
88,470,22110,18,805,9.14773
89,570,22680,19,824,9.25843
90,470,23150,18,842,9.35556
91,470,23620,18,860,9.45055
92,520,24140,21,881,9.57609
93,470,24610,18,899,9.66667
94,470,25080,18,917,9.75532
95,480,25560,19,936,9.85263
96,530,26090,22,958,9.97917
97,440,26530,17,975,10.0515
98,460,26990,18,993,10.1327
99,480,27470,19,1012,10.2222
100,490,27960,20,1032,10.32
101,460,28420,18,1050,10.396
102,480,28900,18,1068,10.4706
103,500,29400,20,1088,10.5631
104,540,29940,22,1110,10.6731
105,500,30440,20,1130,10.7619
106,500,30940,20,1150,10.8491
107,630,31570,23,1173,10.9626
108,500,32070,20,1193,11.0463
109,460,32530,18,1211,11.1101
110,600,33130,21,1232,11.2
111,520,33650,21,1253,11.2883
112,520,34170,21,1274,11.375
113,500,34670,20,1294,11.4513
114,620,35290,22,1316,11.5439
