Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,0,0,0,0,0
2,130,130,3,3,1.5
3,0,130,0,3,1
4,0,130,0,3,0.75
5,10,140,1,4,0.8
6,0,140,0,4,0.666667
7,0,140,0,4,0.571429
8,10,150,1,5,0.625
9,10,160,1,6,0.666667
10,10,170,1,7,0.7
11,10,180,1,8,0.727273
12,30,210,2,10,0.833333
13,10,220,1,11,0.846154
14,30,250,2,13,0.928571
15,30,280,2,15,1
16,130,410,3,18,1.125
17,140,550,4,22,1.29412
18,130,680,3,25,1.38889
19,130,810,3,28,1.47368
20,140,950,4,32,1.6
21,130,1080,3,35,1.66667
22,130,1210,3,38,1.72727
23,10,1220,1,39,1.69565
24,130,1350,3,42,1.75
25,130,1480,3,45,1.8
26,260,1740,6,51,1.96154
27,270,2010,7,58,2.14815
28,290,2300,8,66,2.35714
29,260,2560,6,72,2.48276
30,160,2720,5,77,2.56667
31,260,2980,6,83,2.67742
32,260,3240,6,89,2.78125
33,270,3510,7,96,2.90909
34,270,3780,7,103,3.02941
35,290,4070,8,111,3.17143
36,270,4340,7,118,3.27778
37,290,4630,8,126,3.40541
38,270,4900,7,133,3.5
39,260,5160,6,139,3.5641
40,390,5550,9,148,3.7
41,290,5840,8,156,3.80488
42,270,6110,7,163,3.88095
43,270,6380,7,170,3.95349
44,290,6670,8,178,4.04545
45,420,7090,11,189,4.2
46,260,7350,6,195,4.23913
47,520,7870,12,207,4.40426
48,390,8260,9,216,4.5
49,390,8650,9,225,4.59184
50,420,9070,11,236,4.72
51,520,9590,12,248,4.86275
52,420,10010,11,259,4.98077
53,660,10670,16,275,5.18868
54,420,11090,11,286,5.2963
55,520,11610,12,298,5.41818
56,520,12130,12,310,5.53571
57,390,12520,9,319,5.59649
58,530,13050,13,332,5.72414
59,530,13580,13,345,5.84746
60,400,13980,10,355,5.91667
61,530,14510,13,368,6.03279
62,530,15040,13,381,6.14516
63,520,15560,12,393,6.2381
64,530,16090,13,406,6.34375
65,660,16750,16,422,6.49231
66,530,17280,13,435,6.59091
67,550,17830,14,449,6.70149
68,650,18480,15,464,6.82353
69,650,19130,15,479,6.94203
70,550,19680,14,493,7.04286
71,660,20340,16,509,7.16901
72,650,20990,15,524,7.27778
73,680,21670,17,541,7.41096
74,810,22480,20,561,7.58108
75,650,23130,15,576,7.68
76,780,23910,18,594,7.81579
77,650,24560,15,609,7.90909
78,680,25240,17,626,8.02564
79,660,25900,16,642,8.12658
80,660,26560,16,658,8.225
81,780,27340,18,676,8.34568
82,790,28130,19,695,8.47561
83,780,28910,18,713,8.59036
84,660,29570,16,729,8.67857
85,790,30360,19,748,8.8
86,650,31010,15,763,8.87209
87,790,31800,19,782,8.98851
88,780,32580,18,800,9.09091
89,780,33360,18,818,9.19101
90,780,34140,18,836,9.28889
91,780,34920,18,854,9.38462
92,780,35700,18,872,9.47826
93,790,36490,19,891,9.58065
94,780,37270,18,909,9.67021
95,790,38060,19,928,9.76842
96,790,38850,19,947,9.86458
97,660,39510,16,963,9.92784
98,790,40300,19,982,10.0204
99,790,41090,19,1001,10.1111
100,790,41880,19,1020,10.2
101,790,42670,19,1039,10.2871
102,910,43580,21,1060,10.3922
103,810,44390,20,1080,10.4854
104,910,45300,21,1101,10.5865
105,790,46090,19,1120,10.6667
106,940,47030,23,1143,10.783
107,810,47840,20,1163,10.8692
108,790,48630,19,1182,10.9444
109,790,49420,19,1201,11.0183
110,810,50230,20,1221,11.1
111,940,51170,23,1244,11.2072
112,920,52090,22,1266,11.3036
113,910,53000,21,1287,11.3894
114,810,53810,20,1307,11.4649
115,920,54730,22,1329,11.5565
116,910,55640,21,1350,11.6379
117,910,56550,21,1371,11.7179
118,810,57360,20,1391,11.7881
119,920,58280,22,1413,11.8739
120,790,59070,19,1432,11.9333
121,910,59980,21,1453,12.0083
122,910,60890,21,1474,12.082
123,910,61800,21,1495,12.1545
124,910,62710,21,1516,12.2258
125,910,63620,21,1537,12.296
126,1040,64660,24,1561,12.3889
127,910,65570,21,1582,12.4567
128,920,66490,22,1604,12.5312
129,910,67400,21,1625,12.5969
130,910,68310,21,1646,12.6615
131,810,69120,20,1666,12.7176
132,910,70030,21,1687,12.7803
133,940,70970,23,1710,12.8571
134,910,71880,21,1731,12.9179
135,910,72790,21,1752,12.9778
136,810,73600,20,1772,13.0294
137,910,74510,21,1793,13.0876
138,910,75420,21,1814,13.1449
139,920,76340,22,1836,13.2086
140,790,77130,19,1855,13.25
141,910,78040,21,1876,13.305
142,790,78830,19,1895,13.3451
143,790,79620,19,1914,13.3846
144,790,80410,19,1933,13.4236
145,780,81190,18,1951,13.4552
146,910,82100,21,1972,13.5068
147,910,83010,21,1993,13.5578
148,910,83920,21,2014,13.6081
149,1040,84960,24,2038,13.6779
150,920,85880,22,2060,13.7333
151,910,86790,21,2081,13.7815
152,810,87600,20,2101,13.8224
153,910,88510,21,2122,13.8693
154,910,89420,21,2143,13.9156
155,920,90340,22,2165,13.9677
156,940,91280,23,2188,14.0256
157,910,92190,21,2209,14.0701
158,790,92980,19,2228,14.1013
159,920,93900,22,2250,14.1509
160,910,94810,21,2271,14.1937
161,910,95720,21,2292,14.236
162,790,96510,19,2311,14.2654
163,790,97300,19,2330,14.2945
164,910,98210,21,2351,14.3354
165,910,99120,21,2372,14.3758
166,680,99800,17,2389,14.3916
167,910,100710,21,2410,14.4311
168,1040,101750,24,2434,14.4881
