x,y
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,3
10,0
11,1
12,1
13,1
14,1
15,1
16,2
17,2
18,2
19,2
20,0
21,2
22,3
23,4
24,0
25,5
26,2
27,3
28,3
29,3
30,3
31,3
32,1
33,2
34,4
35,4
36,4
37,1
38,1
39,2
40,4
41,4
42,5
43,5
44,4
45,5
46,5
47,5
48,5
49,5
50,5
51,6
52,6
53,6
54,5
55,6
56,6
57,6
58,6
59,6
60,8
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,9
80,8
81,9
82,9
83,9
84,9
85,11
86,9
87,9
88,9
89,9
90,7
91,9
92,9
93,9
94,10
95,10
96,7
97,10
98,10
99,10
100,10
101,10
102,12
103,10
104,10
105,12
106,10
107,10
108,11
109,10
110,10
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,12
119,11
120,10
121,14
122,9
123,11
124,10
125,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,9
135,11
136,8
137,11
138,11
139,8
140,11
141,14
142,11
143,11
144,8
145,11
146,9
147,11
148,14
149,12
150,12
151,11
152,11
153,11
154,11
155,11
156,9
157,8
158,11
159,11
160,9
161,11
162,11
163,11
164,11
165,9
166,12
167,9
168,11
169,11
170,11
171,11
172,11
173,12
174,11
175,11
176,11
177,11
178,11
179,11
180,11
181,9
182,11
183,11
184,13
185,11
186,11
187,11
188,11
189,11
190,10
191,10
192,10
193,10
194,10
195,10
196,10
197,10
198,12
199,11
200,13
201,10
202,10
203,10
204,7
205,10
206,9
207,11
208,11
209,7
210,9
211,9
212,9
213,9
214,9
215,9
216,9
217,9
218,9
219,9
220,8
221,9
222,8
223,8
224,8
225,8
226,7
227,8
228,8
229,8
230,9
231,7
232,7
233,7
234,5
235,8
236,5
237,7
238,7
239,7
240,7
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,8
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,3
259,4
260,4
261,4
262,4
263,4
264,2
265,2
266,4
267,4
268,3
269,3
270,3
271,0
272,3
273,3
274,3
275,3
276,2
277,3
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,4
286,1
287,0
288,4
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,2
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,2
317,2
318,2
319,2
320,2
321,0
322,2
323,2
324,2
325,3
326,2
327,3
328,3
329,3
330,1
331,3
332,3
333,1
334,4
335,3
336,4
337,4
338,1
339,3
340,4
341,4
342,5
343,5
344,5
345,5
346,5
347,5
348,5
349,7
350,5
351,5
352,7
353,6
354,6
355,8
356,6
357,4
358,6
359,6
360,7
361,6
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,8
371,8
372,8
373,8
374,8
375,8
376,8
377,8
378,8
379,8
380,8
381,12
382,9
383,9
384,9
385,9
386,9
387,12
388,9
389,7
390,9
391,9
392,9
393,9
394,9
395,10
396,10
397,10
398,10
399,10
400,10
401,10
402,10
403,10
404,10
405,10
406,10
407,10
408,11
409,10
410,8
411,11
412,11
413,11
414,11
415,8
416,9
417,11
418,11
419,11
420,11
421,11
422,13
423,9
424,9
425,11
426,11
427,11
428,12
429,8
430,9
431,13
432,11
433,11
434,11
435,11
436,8
437,8
438,11
439,11
440,11
441,11
442,11
443,11
444,11
445,11
446,11
447,14
448,11
449,12
450,12
451,11
452,9
453,10
454,11
455,11
456,11
457,11
458,11
459,11
460,11
461,11
462,11
463,11
464,11
465,11
466,11
467,14
468,10
469,11
470,11
471,13
472,11
473,11
474,10
475,10
476,13
477,11
478,9
479,11
480,9
481,11
482,11
483,11
484,14
485,11
486,11
487,11
488,8
489,11
490,10
491,10
492,10
493,10
494,10
495,10
496,10
497,13
498,10
499,8
500,12
501,8
502,10
503,10
504,11
505,10
506,9
507,9
508,9
509,11
510,7
511,9
512,9
513,9
514,8
515,8
516,11
517,9
518,9
519,9
520,8
521,8
522,8
523,8
524,8
525,9
526,8
527,6
528,8
529,5
530,8
531,7
532,7
533,7
534,6
535,6
536,7
537,7
538,7
539,7
540,7
541,6
542,6
543,6
544,6
545,6
546,3
547,6
548,6
549,3
550,5
551,5
552,5
553,6
554,8
555,5
556,5
557,6
558,5
559,7
560,4
561,2
562,4
563,4
564,3
565,2
566,1
567,2
568,3
569,3
570,3
571,3
572,0
573,5
574,2
575,3
576,4
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,4
586,1
587,1
588,2
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,2
615,2
616,3
617,2
618,2
619,2
620,1
621,2
622,2
623,2
624,2
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,3
633,4
634,4
635,5
636,4
637,2
638,4
639,4
640,4
641,5
642,2
643,5
644,5
645,5
646,3
647,5
648,5
649,5
650,5
651,6
652,6
653,6
654,6
655,6
656,6
657,8
658,6
659,6
660,7
661,6
662,7
663,7
664,7
665,10
666,9
667,7
668,7
669,7
670,8
671,8
672,10
673,8
674,8
675,8
676,8
677,8
678,8
679,8
680,8
681,7
682,9
683,9
684,8
685,9
686,10
687,7
688,7
689,9
690,9
691,9
692,6
693,9
694,9
695,10
696,10
697,10
698,10
699,10
700,10
701,10
702,10
703,10
704,10
705,10
706,10
707,10
708,13
709,10
710,10
711,11
712,11
713,11
714,11
715,11
716,11
717,11
718,11
719,11
720,14
721,11
722,11
723,11
724,11
725,11
726,12
727,11
728,11
729,11
730,11
731,11
732,11
733,10
734,11
735,11
736,11
737,13
738,11
739,11
740,11
741,8
742,14
743,11
744,11
745,11
746,11
747,13
748,11
749,12
750,12
751,12
752,12
753,11
754,11
755,10
756,10
757,11
758,11
759,11
760,11
761,11
762,8
763,11
764,11
765,10
766,8
767,11
768,11
769,9
770,11
771,13
772,11
773,11
774,11
775,11
776,11
777,11
778,11
779,11
780,10
781,11
782,11
783,11
784,11
785,11
786,12
787,11
788,11
789,11
790,8
791,7
792,10
793,10
794,10
795,9
796,10
797,10
798,10
799,10
800,10
801,8
802,10
803,10
804,10
805,10
806,12
807,9
808,8
809,9
810,9
811,9
812,7
813,6
814,9
815,9
816,9
817,12
818,7
819,9
820,8
821,11
822,8
823,8
824,9
825,8
826,8
827,8
828,11
829,7
830,8
831,7
832,7
833,7
834,5
835,7
836,7
837,4
838,7
839,6
840,7
841,8
842,6
843,6
844,6
845,9
846,8
847,6
848,4
849,6
850,6
851,5
852,5
853,5
854,5
855,5
856,5
857,5
858,8
859,4
860,4
861,4
862,2
863,4
864,4
865,4
866,4
867,4
868,3
869,5
870,3
871,3
872,2
873,3
874,1
875,3
876,2
877,2
878,2
879,5
880,2
881,2
882,2
883,2
884,2
885,1
886,1
887,1
888,0
889,1
890,1
891,1
892,1
893,0
894,3
895,0
896,0
897,0
898,3
899,0
900,1
901,0
902,3
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,3
911,4
912,1
913,1
914,1
915,1
916,2
917,2
918,1
919,2
920,2
921,2
922,0
923,0
924,2
925,3
926,3
927,3
928,3
929,6
930,3
931,0
932,3
933,4
934,4
935,5
936,4
937,4
938,1
939,4
940,4
941,4
942,5
943,5
944,5
945,5
946,8
947,5
948,5
949,5
950,5
951,6
952,6
953,7
954,6
955,6
956,3
957,9
958,6
959,9
960,7
961,6
962,5
963,8
964,7
965,7
966,7
967,7
968,8
969,7
970,9
971,8
972,8
973,8
974,8
975,8
976,7
977,8
978,8
979,8
980,8
981,9
982,7
983,8
984,9
985,9
986,7
987,9
988,9
989,9
990,9
991,9
992,9
993,9
994,9
995,10
996,10
997,10
998,9
999,10
1000,10
1001,10
1002,10
1003,10
1004,10
1005,10
1006,10
1007,10
1008,10
1009,10
1010,10
1011,11
1012,14
1013,14
1014,8
1015,11
1016,11
1017,10
1018,10
1019,11
1020,11
1021,11
1022,11
1023,11
1024,8
1025,11
1026,11
1027,11
1028,11
1029,11
1030,11
1031,9
1032,11
1033,11
1034,11
1035,11
1036,11
1037,11
1038,9
1039,11
1040,11
1041,11
1042,11
1043,11
1044,11
1045,11
1046,11
1047,11
1048,11
1049,9
1050,12
1051,11
1052,11
1053,11
1054,11
1055,11
1056,11
1057,11
1058,11
1059,11
1060,11
