Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1690,1690,38,38,38
2,980,2670,19,57,28.5
3,640,3310,19,76,25.3333
4,860,4170,19,95,23.75
5,1030,5200,19,114,22.8
6,380,5580,18,132,22
7,950,6530,18,150,21.4286
8,700,7230,18,168,21
9,620,7850,18,186,20.6667
10,860,8710,18,204,20.4
11,610,9320,18,222,20.1818
12,680,10000,18,240,20
13,600,10600,18,258,19.8462
14,1020,11620,18,276,19.7143
15,770,12390,18,294,19.6
16,940,13330,18,312,19.5
17,590,13920,18,330,19.4118
18,690,14610,18,348,19.3333
19,580,15190,18,366,19.2632
20,890,16080,17,383,19.15
21,590,16670,17,400,19.0476
22,900,17570,17,417,18.9545
23,750,18320,17,434,18.8696
24,1250,19570,17,451,18.7917
25,880,20450,17,468,18.72
26,760,21210,17,485,18.6538
27,890,22100,17,502,18.5926
28,500,22600,17,519,18.5357
29,760,23360,17,536,18.4828
30,680,24040,17,553,18.4333
31,580,24620,17,570,18.3871
32,850,25470,17,587,18.3438
33,760,26230,17,604,18.303
34,1020,27250,17,621,18.2647
35,710,27960,17,638,18.2286
36,850,28810,17,655,18.1944
37,970,29780,17,672,18.1622
38,690,30470,17,689,18.1316
39,750,31220,17,706,18.1026
40,860,32080,17,723,18.075
41,830,32910,16,739,18.0244
42,640,33550,16,755,17.9762
43,640,34190,16,771,17.9302
44,570,34760,16,787,17.8864
45,580,35340,16,803,17.8444
46,390,35730,16,819,17.8043
47,500,36230,16,835,17.766
48,670,36900,16,851,17.7292
49,830,37730,15,866,17.6735
50,530,38260,15,881,17.62
51,740,39000,14,895,17.549
52,800,39800,14,909,17.4808
53,660,40460,14,923,17.4151
54,570,41030,14,937,17.3519
55,460,41490,14,951,17.2909
56,550,42040,14,965,17.2321
57,560,42600,14,979,17.1754
58,630,43230,14,993,17.1207
59,340,43570,13,1006,17.0508
60,530,44100,13,1019,16.9833
61,520,44620,13,1032,16.918
62,540,45160,13,1045,16.8548
63,520,45680,13,1058,16.7937
64,350,46030,13,1071,16.7344
65,630,46660,13,1084,16.6769
66,530,47190,13,1097,16.6212
67,380,47570,13,1110,16.5672
68,470,48040,12,1122,16.5
69,530,48570,12,1134,16.4348
70,670,49240,11,1145,16.3571
71,590,49830,11,1156,16.2817
72,360,50190,11,1167,16.2083
73,410,50600,11,1178,16.137
74,420,51020,11,1189,16.0676
75,750,51770,11,1200,16
76,420,52190,10,1210,15.9211
77,430,52620,10,1220,15.8442
78,320,52940,10,1230,15.7692
79,480,53420,10,1240,15.6962
80,340,53760,10,1250,15.625
81,490,54250,10,1260,15.5556
82,240,54490,10,1270,15.4878
83,430,54920,10,1280,15.4217
84,230,55150,10,1290,15.3571
85,400,55550,9,1299,15.2824
86,310,55860,8,1307,15.1977
87,380,56240,8,1315,15.1149
88,310,56550,8,1323,15.0341
89,460,57010,8,1331,14.9551
90,560,57570,8,1339,14.8778
91,450,58020,8,1347,14.8022
92,300,58320,8,1355,14.7283
93,270,58590,7,1362,14.6452
94,460,59050,7,1369,14.5638
95,270,59320,7,1376,14.4842
96,290,59610,7,1383,14.4062
97,200,59810,7,1390,14.3299
98,270,60080,7,1397,14.2551
99,370,60450,7,1404,14.1818
100,380,60830,8,1412,14.12
101,260,61090,6,1418,14.0396
102,180,61270,6,1424,13.9608
103,250,61520,6,1430,13.8835
104,350,61870,6,1436,13.8077
105,90,61960,6,1442,13.7333
106,350,62310,6,1448,13.6604
107,270,62580,6,1454,13.5888
108,260,62840,7,1461,13.5278
109,190,63030,7,1468,13.4679
110,280,63310,7,1475,13.4091
111,110,63420,7,1482,13.3514
112,450,63870,7,1489,13.2946
113,200,64070,7,1496,13.2389
114,270,64340,6,1502,13.1754
115,440,64780,6,1508,13.113
116,460,65240,7,1515,13.0603
117,440,65680,7,1522,13.0085
118,290,65970,7,1529,12.9576
119,350,66320,7,1536,12.9076
120,180,66500,7,1543,12.8583
121,200,66700,7,1550,12.8099
122,370,67070,7,1557,12.7623
123,350,67420,7,1564,12.7154
124,370,67790,7,1571,12.6694
125,470,68260,8,1579,12.632
126,270,68530,7,1586,12.5873
127,190,68720,7,1593,12.5433
128,270,68990,7,1600,12.5
129,280,69270,7,1607,12.4574
130,270,69540,7,1614,12.4154
131,190,69730,7,1621,12.374
132,350,70080,7,1628,12.3333
133,370,70450,8,1636,12.3008
134,300,70750,8,1644,12.2687
135,220,70970,8,1652,12.237
136,550,71520,8,1660,12.2059
137,470,71990,8,1668,12.1752
138,290,72280,8,1676,12.1449
139,440,72720,7,1683,12.1079
140,450,73170,7,1690,12.0714
141,110,73280,7,1697,12.0355
142,470,73750,8,1705,12.007
143,400,74150,8,1713,11.979
144,460,74610,8,1721,11.9514
