Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1300,1300,38,38,38
2,460,1760,19,57,28.5
3,460,2220,19,76,25.3333
4,460,2680,19,95,23.75
5,460,3140,19,114,22.8
6,450,3590,18,132,22
7,450,4040,18,150,21.4286
8,450,4490,18,168,21
9,450,4940,18,186,20.6667
10,450,5390,18,204,20.4
11,450,5840,18,222,20.1818
12,450,6290,18,240,20
13,450,6740,18,258,19.8462
14,450,7190,18,276,19.7143
15,450,7640,18,294,19.6
16,450,8090,18,312,19.5
17,450,8540,18,330,19.4118
18,450,8990,18,348,19.3333
19,450,9440,18,366,19.2632
20,440,9880,17,383,19.15
21,440,10320,17,400,19.0476
22,440,10760,17,417,18.9545
23,440,11200,17,434,18.8696
24,440,11640,17,451,18.7917
25,440,12080,17,468,18.72
26,440,12520,17,485,18.6538
27,440,12960,17,502,18.5926
28,440,13400,17,519,18.5357
29,440,13840,17,536,18.4828
30,440,14280,17,553,18.4333
31,450,14730,17,570,18.3871
32,450,15180,17,587,18.3438
33,450,15630,17,604,18.303
34,450,16080,17,621,18.2647
35,450,16530,17,638,18.2286
36,450,16980,17,655,18.1944
37,450,17430,17,672,18.1622
38,450,17880,17,689,18.1316
39,450,18330,17,706,18.1026
40,450,18780,17,723,18.075
41,440,19220,16,739,18.0244
42,440,19660,16,755,17.9762
43,440,20100,16,771,17.9302
44,440,20540,16,787,17.8864
45,440,20980,16,803,17.8444
46,440,21420,16,819,17.8043
47,440,21860,16,835,17.766
48,440,22300,16,851,17.7292
49,420,22720,15,866,17.6735
50,420,23140,15,881,17.62
51,400,23540,14,895,17.549
52,400,23940,14,909,17.4808
53,400,24340,14,923,17.4151
54,400,24740,14,937,17.3519
55,400,25140,14,951,17.2909
56,400,25540,14,965,17.2321
57,400,25940,14,979,17.1754
58,400,26340,14,993,17.1207
59,390,26730,13,1006,17.0508
60,390,27120,13,1019,16.9833
61,390,27510,13,1032,16.918
62,390,27900,13,1045,16.8548
63,390,28290,13,1058,16.7937
64,390,28680,13,1071,16.7344
65,390,29070,13,1084,16.6769
66,390,29460,13,1097,16.6212
67,390,29850,13,1110,16.5672
68,380,30230,12,1122,16.5
69,380,30610,12,1134,16.4348
70,360,30970,11,1145,16.3571
71,360,31330,11,1156,16.2817
72,360,31690,11,1167,16.2083
73,360,32050,11,1178,16.137
74,360,32410,11,1189,16.0676
75,360,32770,11,1200,16
76,350,33120,10,1210,15.9211
77,350,33470,10,1220,15.8442
78,350,33820,10,1230,15.7692
79,350,34170,10,1240,15.6962
80,350,34520,10,1250,15.625
81,350,34870,10,1260,15.5556
82,350,35220,10,1270,15.4878
83,350,35570,10,1280,15.4217
84,350,35920,10,1290,15.3571
85,340,36260,9,1299,15.2824
86,320,36580,8,1307,15.1977
87,320,36900,8,1315,15.1149
88,320,37220,8,1323,15.0341
89,320,37540,8,1331,14.9551
90,320,37860,8,1339,14.8778
91,320,38180,8,1347,14.8022
92,320,38500,8,1355,14.7283
93,300,38800,7,1362,14.6452
94,300,39100,7,1369,14.5638
95,300,39400,7,1376,14.4842
96,300,39700,7,1383,14.4062
97,300,40000,7,1390,14.3299
98,300,40300,7,1397,14.2551
99,300,40600,7,1404,14.1818
100,400,41000,8,1412,14.12
101,280,41280,6,1418,14.0396
102,280,41560,6,1424,13.9608
103,280,41840,6,1430,13.8835
104,280,42120,6,1436,13.8077
105,280,42400,6,1442,13.7333
106,280,42680,6,1448,13.6604
107,280,42960,6,1454,13.5888
108,300,43260,7,1461,13.5278
109,300,43560,7,1468,13.4679
110,300,43860,7,1475,13.4091
111,300,44160,7,1482,13.3514
112,300,44460,7,1489,13.2946
113,300,44760,7,1496,13.2389
114,280,45040,6,1502,13.1754
115,280,45320,6,1508,13.113
116,290,45610,7,1515,13.0603
117,290,45900,7,1522,13.0085
118,290,46190,7,1529,12.9576
119,290,46480,7,1536,12.9076
120,290,46770,7,1543,12.8583
121,290,47060,7,1550,12.8099
122,290,47350,7,1557,12.7623
123,290,47640,7,1564,12.7154
124,290,47930,7,1571,12.6694
125,300,48230,8,1579,12.632
126,280,48510,7,1586,12.5873
127,280,48790,7,1593,12.5433
128,280,49070,7,1600,12.5
129,280,49350,7,1607,12.4574
130,280,49630,7,1614,12.4154
131,280,49910,7,1621,12.374
132,280,50190,7,1628,12.3333
133,290,50480,8,1636,12.3008
134,290,50770,8,1644,12.2687
135,290,51060,8,1652,12.237
136,290,51350,8,1660,12.2059
137,290,51640,8,1668,12.1752
138,290,51930,8,1676,12.1449
139,270,52200,7,1683,12.1079
140,270,52470,7,1690,12.0714
141,270,52740,7,1697,12.0355
142,280,53020,8,1705,12.007
143,280,53300,8,1713,11.979
144,280,53580,8,1721,11.9514
145,280,53860,8,1729,11.9241
146,280,54140,8,1737,11.8973
147,280,54420,8,1745,11.8707
148,280,54700,8,1753,11.8446
149,280,54980,8,1761,11.8188
150,280,55260,8,1769,11.7933
151,300,55560,9,1778,11.7748
152,300,55860,9,1787,11.7566
153,300,56160,9,1796,11.7386
154,300,56460,9,1805,11.7208
155,300,56760,9,1814,11.7032
156,300,57060,9,1823,11.6859
157,300,57360,9,1832,11.6688
158,300,57660,9,1841,11.6519
159,300,57960,9,1850,11.6352
160,310,58270,10,1860,11.625
161,310,58580,10,1870,11.6149
162,330,58910,11,1881,11.6111
163,330,59240,11,1892,11.6074
164,330,59570,11,1903,11.6037
165,330,59900,11,1914,11.6
166,330,60230,11,1925,11.5964
167,330,60560,11,1936,11.5928
168,330,60890,11,1947,11.5893
169,330,61220,11,1958,11.5858
170,320,61540,11,1969,11.5824
171,320,61860,11,1980,11.5789
172,320,62180,11,1991,11.5756
173,320,62500,11,2002,11.5723
174,320,62820,11,2013,11.569
175,340,63160,12,2025,11.5714
176,340,63500,12,2037,11.5739
177,340,63840,12,2049,11.5763
178,340,64180,12,2061,11.5787
179,340,64520,12,2073,11.581
180,340,64860,12,2085,11.5833
181,350,65210,13,2098,11.5912
182,350,65560,13,2111,11.5989
183,350,65910,13,2124,11.6066
184,350,66260,13,2137,11.6141
185,350,66610,13,2150,11.6216
186,350,66960,13,2163,11.629
187,370,67330,14,2177,11.6417
188,370,67700,14,2191,11.6543
189,370,68070,14,2205,11.6667
190,370,68440,14,2219,11.6789
191,370,68810,14,2233,11.6911
192,370,69180,14,2247,11.7031
193,370,69550,14,2261,11.715
194,370,69920,14,2275,11.7268
195,380,70300,15,2290,11.7436
196,380,70680,15,2305,11.7602
197,380,71060,15,2320,11.7766
198,380,71440,15,2335,11.7929
199,380,71820,15,2350,11.809
200,380,72200,15,2365,11.825
201,300,72500,15,2380,11.8408
202,300,72800,15,2395,11.8564
203,300,73100,15,2410,11.8719
204,300,73400,15,2425,11.8873
205,300,73700,15,2440,11.9024
206,300,74000,15,2455,11.9175
207,300,74300,15,2470,11.9324
208,300,74600,15,2485,11.9471
209,300,74900,15,2500,11.9617
210,300,75200,15,2515,11.9762
211,320,75520,16,2531,11.9953
212,320,75840,16,2547,12.0142
213,320,76160,16,2563,12.0329
214,320,76480,16,2579,12.0514
215,340,76820,17,2596,12.0744
216,340,77160,17,2613,12.0972
217,340,77500,17,2630,12.1198
218,340,77840,17,2647,12.1422
219,340,78180,17,2664,12.1644
220,340,78520,17,2681,12.1864
221,340,78860,17,2698,12.2081
222,340,79200,17,2715,12.2297
223,340,79540,17,2732,12.2511
224,340,79880,17,2749,12.2723
225,340,80220,17,2766,12.2933
226,240,80460,16,2782,12.3097
227,240,80700,16,2798,12.326
228,240,80940,16,2814,12.3421
229,240,81180,16,2830,12.3581
230,240,81420,16,2846,12.3739
