Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1590,1590,38,38,38
2,790,2380,19,57,28.5
3,790,3170,19,76,25.3333
4,790,3960,19,95,23.75
5,790,4750,19,114,22.8
6,780,5530,18,132,22
7,780,6310,18,150,21.4286
8,780,7090,18,168,21
9,780,7870,18,186,20.6667
10,780,8650,18,204,20.4
11,780,9430,18,222,20.1818
12,780,10210,18,240,20
13,780,10990,18,258,19.8462
14,780,11770,18,276,19.7143
15,780,12550,18,294,19.6
16,780,13330,18,312,19.5
17,780,14110,18,330,19.4118
18,780,14890,18,348,19.3333
19,780,15670,18,366,19.2632
20,680,16350,17,383,19.15
21,680,17030,17,400,19.0476
22,680,17710,17,417,18.9545
23,680,18390,17,434,18.8696
24,680,19070,17,451,18.7917
25,680,19750,17,468,18.72
26,680,20430,17,485,18.6538
27,680,21110,17,502,18.5926
28,680,21790,17,519,18.5357
29,680,22470,17,536,18.4828
30,680,23150,17,553,18.4333
31,680,23830,17,570,18.3871
32,680,24510,17,587,18.3438
33,680,25190,17,604,18.303
34,680,25870,17,621,18.2647
35,680,26550,17,638,18.2286
36,680,27230,17,655,18.1944
37,680,27910,17,672,18.1622
38,680,28590,17,689,18.1316
39,680,29270,17,706,18.1026
40,680,29950,17,723,18.075
41,660,30610,16,739,18.0244
42,660,31270,16,755,17.9762
43,660,31930,16,771,17.9302
44,660,32590,16,787,17.8864
45,660,33250,16,803,17.8444
46,660,33910,16,819,17.8043
47,660,34570,16,835,17.766
48,660,35230,16,851,17.7292
49,650,35880,15,866,17.6735
50,650,36530,15,881,17.62
51,550,37080,14,895,17.549
52,550,37630,14,909,17.4808
53,550,38180,14,923,17.4151
54,550,38730,14,937,17.3519
55,550,39280,14,951,17.2909
56,550,39830,14,965,17.2321
57,550,40380,14,979,17.1754
58,550,40930,14,993,17.1207
59,530,41460,13,1006,17.0508
60,530,41990,13,1019,16.9833
61,530,42520,13,1032,16.918
62,530,43050,13,1045,16.8548
63,530,43580,13,1058,16.7937
64,530,44110,13,1071,16.7344
65,530,44640,13,1084,16.6769
66,530,45170,13,1097,16.6212
67,530,45700,13,1110,16.5672
68,520,46220,12,1122,16.5
69,520,46740,12,1134,16.4348
70,420,47160,11,1145,16.3571
71,420,47580,11,1156,16.2817
72,420,48000,11,1167,16.2083
73,420,48420,11,1178,16.137
74,420,48840,11,1189,16.0676
75,420,49260,11,1200,16
76,400,49660,10,1210,15.9211
77,400,50060,10,1220,15.8442
78,400,50460,10,1230,15.7692
79,400,50860,10,1240,15.6962
80,400,51260,10,1250,15.625
81,400,51660,10,1260,15.5556
82,400,52060,10,1270,15.4878
83,400,52460,10,1280,15.4217
84,400,52860,10,1290,15.3571
85,390,53250,9,1299,15.2824
86,290,53540,8,1307,15.1977
87,290,53830,8,1315,15.1149
88,290,54120,8,1323,15.0341
89,290,54410,8,1331,14.9551
90,290,54700,8,1339,14.8778
91,290,54990,8,1347,14.8022
92,290,55280,8,1355,14.7283
93,270,55550,7,1362,14.6452
94,270,55820,7,1369,14.5638
95,270,56090,7,1376,14.4842
96,270,56360,7,1383,14.4062
97,270,56630,7,1390,14.3299
98,270,56900,7,1397,14.2551
99,270,57170,7,1404,14.1818
100,290,57460,8,1412,14.12
101,260,57720,6,1418,14.0396
102,260,57980,6,1424,13.9608
103,260,58240,6,1430,13.8835
104,260,58500,6,1436,13.8077
105,260,58760,6,1442,13.7333
106,260,59020,6,1448,13.6604
107,260,59280,6,1454,13.5888
108,270,59550,7,1461,13.5278
109,270,59820,7,1468,13.4679
110,270,60090,7,1475,13.4091
111,270,60360,7,1482,13.3514
112,270,60630,7,1489,13.2946
113,270,60900,7,1496,13.2389
114,260,61160,6,1502,13.1754
115,260,61420,6,1508,13.113
116,270,61690,7,1515,13.0603
117,270,61960,7,1522,13.0085
118,270,62230,7,1529,12.9576
119,270,62500,7,1536,12.9076
120,270,62770,7,1543,12.8583
121,270,63040,7,1550,12.8099
122,270,63310,7,1557,12.7623
123,270,63580,7,1564,12.7154
124,270,63850,7,1571,12.6694
125,290,64140,8,1579,12.632
126,270,64410,7,1586,12.5873
127,270,64680,7,1593,12.5433
128,270,64950,7,1600,12.5
129,270,65220,7,1607,12.4574
130,270,65490,7,1614,12.4154
131,270,65760,7,1621,12.374
132,270,66030,7,1628,12.3333
133,290,66320,8,1636,12.3008
134,290,66610,8,1644,12.2687
135,290,66900,8,1652,12.237
136,290,67190,8,1660,12.2059
137,290,67480,8,1668,12.1752
138,290,67770,8,1676,12.1449
139,270,68040,7,1683,12.1079
140,270,68310,7,1690,12.0714
141,270,68580,7,1697,12.0355
142,290,68870,8,1705,12.007
143,290,69160,8,1713,11.979
144,290,69450,8,1721,11.9514
145,290,69740,8,1729,11.9241
146,290,70030,8,1737,11.8973
147,290,70320,8,1745,11.8707
148,290,70610,8,1753,11.8446
149,290,70900,8,1761,11.8188
150,290,71190,8,1769,11.7933
151,390,71580,9,1778,11.7748
152,390,71970,9,1787,11.7566
153,390,72360,9,1796,11.7386
154,390,72750,9,1805,11.7208
155,390,73140,9,1814,11.7032
156,390,73530,9,1823,11.6859
157,390,73920,9,1832,11.6688
158,390,74310,9,1841,11.6519
159,390,74700,9,1850,11.6352
160,400,75100,10,1860,11.625
161,400,75500,10,1870,11.6149
162,420,75920,11,1881,11.6111
163,420,76340,11,1892,11.6074
164,420,76760,11,1903,11.6037
165,420,77180,11,1914,11.6
166,420,77600,11,1925,11.5964
167,420,78020,11,1936,11.5928
168,420,78440,11,1947,11.5893
169,420,78860,11,1958,11.5858
170,420,79280,11,1969,11.5824
171,420,79700,11,1980,11.5789
172,420,80120,11,1991,11.5756
173,420,80540,11,2002,11.5723
174,420,80960,11,2013,11.569
175,520,81480,12,2025,11.5714
176,520,82000,12,2037,11.5739
177,520,82520,12,2049,11.5763
178,520,83040,12,2061,11.5787
179,520,83560,12,2073,11.581
180,520,84080,12,2085,11.5833
181,530,84610,13,2098,11.5912
182,530,85140,13,2111,11.5989
183,530,85670,13,2124,11.6066
184,530,86200,13,2137,11.6141
185,530,86730,13,2150,11.6216
186,530,87260,13,2163,11.629
187,550,87810,14,2177,11.6417
188,550,88360,14,2191,11.6543
189,550,88910,14,2205,11.6667
190,550,89460,14,2219,11.6789
191,550,90010,14,2233,11.6911
192,550,90560,14,2247,11.7031
193,550,91110,14,2261,11.715
194,550,91660,14,2275,11.7268
195,650,92310,15,2290,11.7436
196,650,92960,15,2305,11.7602
197,650,93610,15,2320,11.7766
198,650,94260,15,2335,11.7929
199,650,94910,15,2350,11.809
200,650,95560,15,2365,11.825
201,650,96210,15,2380,11.8408
202,650,96860,15,2395,11.8564
203,650,97510,15,2410,11.8719
204,650,98160,15,2425,11.8873
205,650,98810,15,2440,11.9024
206,650,99460,15,2455,11.9175
207,650,100110,15,2470,11.9324
208,650,100760,15,2485,11.9471
209,650,101410,15,2500,11.9617
210,650,102060,15,2515,11.9762
211,660,102720,16,2531,11.9953
212,660,103380,16,2547,12.0142
213,660,104040,16,2563,12.0329
214,660,104700,16,2579,12.0514
215,680,105380,17,2596,12.0744
216,680,106060,17,2613,12.0972
217,680,106740,17,2630,12.1198
218,680,107420,17,2647,12.1422
219,680,108100,17,2664,12.1644
220,680,108780,17,2681,12.1864
221,680,109460,17,2698,12.2081
222,680,110140,17,2715,12.2297
223,680,110820,17,2732,12.2511
224,680,111500,17,2749,12.2723
225,680,112180,17,2766,12.2933
226,660,112840,16,2782,12.3097
227,660,113500,16,2798,12.326
228,660,114160,16,2814,12.3421
229,660,114820,16,2830,12.3581
230,660,115480,16,2846,12.3739
231,680,116160,17,2863,12.3939
232,680,116840,17,2880,12.4138
233,680,117520,17,2897,12.4335
234,680,118200,17,2914,12.453
235,680,118880,17,2931,12.4723
236,680,119560,17,2948,12.4915
237,680,120240,17,2965,12.5105
238,680,120920,17,2982,12.5294
239,680,121600,17,2999,12.5481
240,680,122280,17,3016,12.5667
241,680,122960,17,3033,12.5851
242,680,123640,17,3050,12.6033
243,680,124320,17,3067,12.6214
244,680,125000,17,3084,12.6393
245,680,125680,17,3101,12.6571
246,680,126360,17,3118,12.6748
247,680,127040,17,3135,12.6923
248,680,127720,17,3152,12.7097
249,680,128400,17,3169,12.7269
250,780,129180,18,3187,12.748
251,680,129860,17,3204,12.7649
252,780,130640,18,3222,12.7857
253,780,131420,18,3240,12.8063
254,780,132200,18,3258,12.8268
255,780,132980,18,3276,12.8471
256,780,133760,18,3294,12.8672
257,780,134540,18,3312,12.8872
258,780,135320,18,3330,12.907
259,780,136100,18,3348,12.9266
260,780,136880,18,3366,12.9462
261,780,137660,18,3384,12.9655
262,780,138440,18,3402,12.9847
263,780,139220,18,3420,13.0038
264,780,140000,18,3438,13.0227
265,780,140780,18,3456,13.0415
266,780,141560,18,3474,13.0602
267,780,142340,18,3492,13.0787
268,780,143120,18,3510,13.097
269,780,143900,18,3528,13.1152
270,780,144680,18,3546,13.1333
271,780,145460,18,3564,13.1513
272,780,146240,18,3582,13.1691
273,780,147020,18,3600,13.1868
274,780,147800,18,3618,13.2044
275,790,148590,19,3637,13.2255
276,790,149380,19,3656,13.2464
277,790,150170,19,3675,13.2671
278,790,150960,19,3694,13.2878
279,790,151750,19,3713,13.3082
280,790,152540,19,3732,13.3286
281,790,153330,19,3751,13.3488
282,790,154120,19,3770,13.3688
283,790,154910,19,3789,13.3887
284,790,155700,19,3808,13.4085
285,790,156490,19,3827,13.4281
286,790,157280,19,3846,13.4476
287,790,158070,19,3865,13.4669
288,790,158860,19,3884,13.4861
289,790,159650,19,3903,13.5052
290,780,160430,18,3921,13.5207
291,780,161210,18,3939,13.5361
292,780,161990,18,3957,13.5514
293,780,162770,18,3975,13.5666
294,780,163550,18,3993,13.5816
295,780,164330,18,4011,13.5966
296,780,165110,18,4029,13.6115
297,780,165890,18,4047,13.6263
298,780,166670,18,4065,13.6409
299,780,167450,18,4083,13.6555
300,790,168240,19,4102,13.6733
301,790,169030,19,4121,13.691
302,790,169820,19,4140,13.7086
303,790,170610,19,4159,13.7261
304,790,171400,19,4178,13.7434
305,790,172190,19,4197,13.7607
306,780,172970,18,4215,13.7745
307,780,173750,18,4233,13.7883
308,780,174530,18,4251,13.8019
309,780,175310,18,4269,13.8155
310,780,176090,18,4287,13.829
311,780,176870,18,4305,13.8424
312,780,177650,18,4323,13.8558
313,780,178430,18,4341,13.869
314,780,179210,18,4359,13.8822
315,780,179990,18,4377,13.8952
316,780,180770,18,4395,13.9082
317,780,181550,18,4413,13.9211
318,780,182330,18,4431,13.934
319,780,183110,18,4449,13.9467
320,680,183790,17,4466,13.9563
321,680,184470,17,4483,13.9657
322,680,185150,17,4500,13.9752
323,680,185830,17,4517,13.9845
324,680,186510,17,4534,13.9938
325,680,187190,17,4551,14.0031
326,680,187870,17,4568,14.0123
327,680,188550,17,4585,14.0214
328,680,189230,17,4602,14.0305
329,680,189910,17,4619,14.0395
330,680,190590,17,4636,14.0485
331,680,191270,17,4653,14.0574
332,680,191950,17,4670,14.0663
333,680,192630,17,4687,14.0751
334,680,193310,17,4704,14.0838
335,680,193990,17,4721,14.0925
336,680,194670,17,4738,14.1012
337,680,195350,17,4755,14.1098
338,680,196030,17,4772,14.1183
339,680,196710,17,4789,14.1268
340,680,197390,17,4806,14.1353
341,660,198050,16,4822,14.1408
342,660,198710,16,4838,14.1462
343,660,199370,16,4854,14.1516
344,660,200030,16,4870,14.157
345,660,200690,16,4886,14.1623
346,660,201350,16,4902,14.1676
347,660,202010,16,4918,14.1729
348,660,202670,16,4934,14.1782
349,650,203320,15,4949,14.1805
350,650,203970,15,4964,14.1829
351,550,204520,14,4978,14.1823
352,550,205070,14,4992,14.1818
353,550,205620,14,5006,14.1813
354,550,206170,14,5020,14.1808
355,550,206720,14,5034,14.1803
356,550,207270,14,5048,14.1798
357,550,207820,14,5062,14.1793
358,550,208370,14,5076,14.1788
359,530,208900,13,5089,14.1755
360,530,209430,13,5102,14.1722
361,530,209960,13,5115,14.169
362,530,210490,13,5128,14.1657
363,530,211020,13,5141,14.1625
364,530,211550,13,5154,14.1593
365,530,212080,13,5167,14.1562
366,530,212610,13,5180,14.153
367,530,213140,13,5193,14.1499
368,520,213660,12,5205,14.144
369,520,214180,12,5217,14.1382
370,420,214600,11,5228,14.1297
371,420,215020,11,5239,14.1213
372,420,215440,11,5250,14.1129
373,420,215860,11,5261,14.1046
374,420,216280,11,5272,14.0963
375,420,216700,11,5283,14.088
376,400,217100,10,5293,14.0771
377,400,217500,10,5303,14.0663
378,400,217900,10,5313,14.0556
379,400,218300,10,5323,14.0449
380,400,218700,10,5333,14.0342
381,400,219100,10,5343,14.0236
382,400,219500,10,5353,14.0131
383,400,219900,10,5363,14.0026
384,400,220300,10,5373,13.9922
385,390,220690,9,5382,13.9792
386,290,220980,8,5390,13.9637
387,290,221270,8,5398,13.9483
388,290,221560,8,5406,13.933
389,290,221850,8,5414,13.9177
390,290,222140,8,5422,13.9026
391,290,222430,8,5430,13.8875
392,290,222720,8,5438,13.8724
393,270,222990,7,5445,13.855
394,270,223260,7,5452,13.8376
395,270,223530,7,5459,13.8203
396,270,223800,7,5466,13.803
397,270,224070,7,5473,13.7859
398,270,224340,7,5480,13.7688
399,270,224610,7,5487,13.7519
400,290,224900,8,5495,13.7375
401,260,225160,6,5501,13.7182
402,260,225420,6,5507,13.699
403,260,225680,6,5513,13.6799
404,260,225940,6,5519,13.6609
405,260,226200,6,5525,13.642
406,260,226460,6,5531,13.6232
407,260,226720,6,5537,13.6044
408,270,226990,7,5544,13.5882
409,270,227260,7,5551,13.5721
410,270,227530,7,5558,13.5561
411,270,227800,7,5565,13.5401
412,270,228070,7,5572,13.5243
413,270,228340,7,5579,13.5085
414,260,228600,6,5585,13.4903
415,260,228860,6,5591,13.4723
416,270,229130,7,5598,13.4567
417,270,229400,7,5605,13.4412
418,270,229670,7,5612,13.4258
419,270,229940,7,5619,13.4105
420,270,230210,7,5626,13.3952
421,270,230480,7,5633,13.38
422,270,230750,7,5640,13.3649
