Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1680,1680,37,37,37
2,1010,2690,21,58,29
3,510,3200,16,74,24.6667
4,930,4130,18,92,23
5,1010,5140,19,111,22.2
6,560,5700,18,129,21.5
7,860,6560,18,147,21
8,870,7430,18,165,20.625
9,620,8050,17,182,20.2222
10,770,8820,18,200,20
11,690,9510,18,218,19.8182
12,790,10300,18,236,19.6667
13,720,11020,21,257,19.7692
14,930,11950,18,275,19.6429
15,760,12710,18,293,19.5333
16,940,13650,18,311,19.4375
17,590,14240,18,329,19.3529
18,820,15060,21,350,19.4444
19,500,15560,18,368,19.3684
20,960,16520,17,385,19.25
21,670,17190,17,402,19.1429
22,1080,18270,17,419,19.0455
23,740,19010,16,435,18.913
24,1170,20180,17,452,18.8333
25,790,20970,17,469,18.76
26,870,21840,19,488,18.7692
27,810,22650,18,506,18.7407
28,770,23420,18,524,18.7143
29,700,24120,18,542,18.6897
30,550,24670,15,557,18.5667
31,510,25180,18,575,18.5484
32,1090,26270,16,591,18.4688
33,740,27010,17,608,18.4242
34,1030,28040,17,625,18.3824
35,620,28660,17,642,18.3429
36,790,29450,18,660,18.3333
37,780,30230,16,676,18.2703
38,960,31190,17,693,18.2368
39,680,31870,17,710,18.2051
40,750,32620,16,726,18.15
41,740,33360,15,741,18.0732
42,830,34190,18,759,18.0714
43,520,34710,13,772,17.9535
44,470,35180,15,787,17.8864
45,580,35760,16,803,17.8444
46,390,36150,16,819,17.8043
47,490,36640,15,834,17.7447
48,660,37300,16,850,17.7083
49,830,38130,15,865,17.6531
50,630,38760,16,881,17.62
51,740,39500,14,895,17.549
52,830,40330,16,911,17.5192
53,660,40990,14,925,17.4528
54,560,41550,14,939,17.3889
55,370,41920,14,953,17.3273
56,620,42540,13,966,17.25
57,650,43190,14,980,17.193
58,620,43810,13,993,17.1207
59,340,44150,13,1006,17.0508
60,530,44680,13,1019,16.9833
61,520,45200,13,1032,16.918
62,560,45760,14,1046,16.871
63,520,46280,13,1059,16.8095
64,350,46630,13,1072,16.75
65,710,47340,13,1085,16.6923
66,430,47770,12,1097,16.6212
67,360,48130,12,1109,16.5522
68,450,48580,11,1120,16.4706
69,380,48960,8,1128,16.3478
70,610,49570,12,1140,16.2857
71,580,50150,11,1151,16.2113
72,490,50640,10,1161,16.125
73,510,51150,11,1172,16.0548
74,460,51610,12,1184,16
75,670,52280,12,1196,15.9467
76,300,52580,8,1204,15.8421
77,460,53040,12,1216,15.7922
78,340,53380,10,1226,15.7179
79,560,53940,9,1235,15.6329
80,200,54140,9,1244,15.55
81,350,54490,11,1255,15.4938
82,540,55030,13,1268,15.4634
83,500,55530,10,1278,15.3976
84,280,55810,7,1285,15.2976
85,300,56110,9,1294,15.2235
86,200,56310,7,1301,15.1279
87,300,56610,8,1309,15.046
88,580,57190,10,1319,14.9886
89,380,57570,8,1327,14.9101
90,560,58130,8,1335,14.8333
91,360,58490,7,1342,14.7473
92,550,59040,8,1350,14.6739
93,110,59150,7,1357,14.5914
94,480,59630,9,1366,14.5319
95,330,59960,6,1372,14.4421
96,380,60340,8,1380,14.375
97,190,60530,7,1387,14.299
