Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1300,1300,38,38,38
2,480,1780,19,57,28.5
3,500,2280,20,77,25.6667
4,480,2760,19,96,24
5,510,3270,21,117,23.4
6,450,3720,17,134,22.3333
7,370,4090,17,151,21.5714
8,470,4560,18,169,21.125
9,500,5060,20,189,21
10,470,5530,18,207,20.7
11,360,5890,16,223,20.2727
12,430,6320,16,239,19.9167
13,480,6800,19,258,19.8462
14,470,7270,18,276,19.7143
15,470,7740,18,294,19.6
16,470,8210,18,312,19.5
17,470,8680,18,330,19.4118
18,470,9150,18,348,19.3333
19,470,9620,18,366,19.2632
20,460,10080,17,383,19.15
21,460,10540,17,400,19.0476
22,440,10980,16,416,18.9091
23,360,11340,16,432,18.7826
24,440,11780,16,448,18.6667
25,460,12240,17,465,18.6
26,360,12600,16,481,18.5
27,460,13060,17,498,18.4444
28,380,13440,17,515,18.3929
29,440,13880,16,531,18.3103
30,440,14320,16,547,18.2333
31,460,14780,17,564,18.1935
32,460,15240,17,581,18.1562
33,460,15700,17,598,18.1212
34,420,16120,14,612,18
35,460,16580,17,629,17.9714
36,460,17040,17,646,17.9444
37,430,17470,15,661,17.8649
38,430,17900,15,676,17.7895
39,480,18380,18,694,17.7949
40,460,18840,17,711,17.775
41,430,19270,15,726,17.7073
42,450,19720,16,742,17.6667
43,440,20160,16,758,17.6279
44,450,20610,16,774,17.5909
45,460,21070,16,790,17.5556
46,550,21620,17,807,17.5435
47,470,22090,17,824,17.5319
48,430,22520,15,839,17.4792
49,390,22910,13,852,17.3878
50,430,23340,15,867,17.34
51,390,23730,12,879,17.2353
52,330,24060,9,888,17.0769
53,370,24430,11,899,16.9623
54,410,24840,14,913,16.9074
55,410,25250,14,927,16.8545
56,370,25620,12,939,16.7679
57,390,26010,12,951,16.6842
58,390,26400,13,964,16.6207
59,400,26800,13,977,16.5593
60,400,27200,13,990,16.5
61,540,27740,16,1006,16.4918
62,430,28170,15,1021,16.4677
63,400,28570,13,1034,16.4127
64,370,28940,11,1045,16.3281
65,380,29320,12,1057,16.2615
66,430,29750,15,1072,16.2424
67,390,30140,13,1085,16.194
68,390,30530,12,1097,16.1324
69,370,30900,11,1108,16.058
70,430,31330,15,1123,16.0429
71,340,31670,9,1132,15.9437
72,370,32040,11,1143,15.875
73,410,32450,13,1156,15.8356
74,330,32780,9,1165,15.7432
75,470,33250,12,1177,15.6933
76,450,33700,11,1188,15.6316
77,350,34050,10,1198,15.5584
78,350,34400,10,1208,15.4872
79,390,34790,12,1220,15.443
80,370,35160,11,1231,15.3875
81,380,35540,12,1243,15.3457
82,350,35890,10,1253,15.2805
83,350,36240,10,1263,15.2169
84,350,36590,10,1273,15.1548
85,300,36890,7,1280,15.0588
86,280,37170,6,1286,14.9535
87,300,37470,7,1293,14.8621
88,420,37890,9,1302,14.7955
89,300,38190,7,1309,14.7079
90,320,38510,8,1317,14.6333
91,320,38830,8,1325,14.5604
92,300,39130,7,1332,14.4783
93,300,39430,7,1339,14.3978
94,320,39750,8,1347,14.3298
95,300,40050,7,1354,14.2526
96,300,40350,7,1361,14.1771
97,300,40650,7,1368,14.1031
98,300,40950,7,1375,14.0306
99,280,41230,6,1381,13.9495
100,410,41640,9,1390,13.9
101,380,42020,7,1397,13.8317
102,280,42300,6,1403,13.7549
103,380,42680,7,1410,13.6893
104,280,42960,6,1416,13.6154
105,380,43340,7,1423,13.5524
106,260,43600,5,1428,13.4717
107,280,43880,6,1434,13.4019
108,300,44180,7,1441,13.3426
109,260,44440,5,1446,13.2661
110,300,44740,7,1453,13.2091
111,300,45040,7,1460,13.1532
112,380,45420,7,1467,13.0982
113,300,45720,7,1474,13.0442
114,360,46080,11,1485,13.0263
115,280,46360,6,1491,12.9652
116,290,46650,7,1498,12.9138
117,430,47080,11,1509,12.8974
118,290,47370,7,1516,12.8475
119,290,47660,7,1523,12.7983
120,290,47950,7,1530,12.75
121,290,48240,7,1537,12.7025
122,270,48510,6,1543,12.6475
123,290,48800,7,1550,12.6016
124,270,49070,6,1556,12.5484
125,270,49340,6,1562,12.496
126,240,49580,4,1566,12.4286
127,290,49870,7,1573,12.3858
128,330,50200,10,1583,12.3672
129,270,50470,6,1589,12.3178
130,290,50760,7,1596,12.2769
131,290,51050,7,1603,12.2366
132,330,51380,10,1613,12.2197
133,340,51720,10,1623,12.203
134,290,52010,7,1630,12.1642
135,310,52320,9,1639,12.1407
136,280,52600,7,1646,12.1029
137,300,52900,8,1654,12.073
138,260,53160,5,1659,12.0217
139,280,53440,7,1666,11.9856
140,280,53720,7,1673,11.95
141,280,54000,7,1680,11.9149
142,290,54290,8,1688,11.8873
143,290,54580,8,1696,11.8601
144,290,54870,8,1704,11.8333
145,290,55160,8,1712,11.8069
146,290,55450,8,1720,11.7808
147,270,55720,7,1727,11.7483
148,290,56010,8,1735,11.723
149,290,56300,8,1743,11.698
150,340,56640,11,1754,11.6933
151,290,56930,8,1762,11.6689
152,310,57240,9,1771,11.6513
153,330,57570,10,1781,11.6405
154,310,57880,9,1790,11.6234
155,320,58200,10,1800,11.6129
156,350,58550,11,1811,11.609
157,350,58900,11,1822,11.6051
158,350,59250,11,1833,11.6013
159,350,59600,11,1844,11.5975
160,320,59920,10,1854,11.5875
161,300,60220,9,1863,11.5714
162,300,60520,8,1871,11.5494
163,320,60840,10,1881,11.5399
164,320,61160,10,1891,11.5305
165,440,61600,12,1903,11.5333
166,340,61940,11,1914,11.5301
167,300,62240,9,1923,11.515
168,340,62580,11,1934,11.5119
169,340,62920,11,1945,11.5089
170,360,63280,12,1957,11.5118
171,310,63590,9,1966,11.4971
172,340,63930,11,1977,11.4942
173,340,64270,11,1988,11.4913
174,340,64610,11,1999,11.4885
175,360,64970,12,2011,11.4914
176,380,65350,13,2024,11.5
177,360,65710,12,2036,11.5028
178,340,66050,11,2047,11.5
179,360,66410,12,2059,11.5028
180,360,66770,12,2071,11.5056
181,370,67140,13,2084,11.5138
182,370,67510,13,2097,11.522
183,270,67780,12,2109,11.5246
184,410,68190,15,2124,11.5435
185,370,68560,13,2137,11.5514
186,370,68930,13,2150,11.5591
187,390,69320,14,2164,11.5722
188,260,69580,11,2175,11.5691
189,400,69980,15,2190,11.5873
190,390,70370,14,2204,11.6
191,390,70760,14,2218,11.6126
192,420,71180,16,2234,11.6354
193,390,71570,14,2248,11.6477
194,290,71860,14,2262,11.6598
195,400,72260,15,2277,11.6769
196,400,72660,15,2292,11.6939
197,380,73040,14,2306,11.7056
198,400,73440,15,2321,11.7222
199,400,73840,15,2336,11.7387
200,360,74200,12,2348,11.74
201,320,74520,15,2363,11.7562
202,300,74820,13,2376,11.7624
203,320,75140,15,2391,11.7783
204,300,75440,13,2404,11.7843
205,320,75760,15,2419,11.8
206,410,76170,20,2439,11.8398
207,340,76510,16,2455,11.8599
208,340,76850,16,2471,11.8798
209,320,77170,15,2486,11.8947
210,310,77480,14,2500,11.9048
211,300,77780,14,2514,11.9147
212,340,78120,16,2530,11.934
213,340,78460,16,2546,11.9531
214,360,78820,17,2563,11.9766
215,320,79140,14,2577,11.986
216,360,79500,17,2594,12.0093
217,360,79860,17,2611,12.0323
218,360,80220,17,2628,12.055
219,360,80580,17,2645,12.0776
220,460,81040,18,2663,12.1045
221,340,81380,16,2679,12.1222
222,360,81740,17,2696,12.1441
223,400,82140,20,2716,12.1794
224,380,82520,18,2734,12.2054
225,260,82780,16,2750,12.2222
226,250,83030,16,2766,12.2389
227,260,83290,16,2782,12.2555
228,230,83520,14,2796,12.2632
229,260,83780,16,2812,12.2795
230,260,84040,16,2828,12.2957
231,310,84350,19,2847,12.3247
232,320,84670,19,2866,12.3534
233,260,84930,16,2882,12.3691
234,240,85170,14,2896,12.3761
235,240,85410,14,2910,12.383
236,280,85690,17,2927,12.4025
237,280,85970,17,2944,12.4219
238,280,86250,17,2961,12.4412
239,280,86530,17,2978,12.4603
240,280,86810,17,2995,12.4792
241,380,87190,18,3013,12.5021
242,280,87470,17,3030,12.5207
243,280,87750,17,3047,12.5391
244,290,88040,18,3065,12.5615
245,280,88320,17,3082,12.5796
246,290,88610,18,3100,12.6016
247,280,88890,17,3117,12.6194
248,280,89170,17,3134,12.6371
249,290,89460,18,3152,12.6586
250,340,89800,21,3173,12.692
251,280,90080,17,3190,12.7092
252,300,90380,18,3208,12.7302
253,350,90730,21,3229,12.7628
254,350,91080,21,3250,12.7953
255,300,91380,18,3268,12.8157
256,300,91680,18,3286,12.8359
257,300,91980,18,3304,12.856
258,300,92280,18,3322,12.876
259,300,92580,18,3340,12.8958
260,300,92880,18,3358,12.9154
261,300,93180,18,3376,12.9349
262,280,93460,17,3393,12.9504
263,300,93760,18,3411,12.9696
264,300,94060,18,3429,12.9886
265,300,94360,18,3447,13.0075
266,300,94660,18,3465,13.0263
267,300,94960,18,3483,13.0449
268,300,95260,18,3501,13.0634
269,300,95560,18,3519,13.0818
270,300,95860,18,3537,13.1
271,310,96170,19,3556,13.1218
272,300,96470,18,3574,13.1397
273,310,96780,19,3593,13.1612
274,260,97040,15,3608,13.1679
275,440,97480,22,3630,13.2
276,480,97960,19,3649,13.221
277,500,98460,20,3669,13.2455
278,520,98980,21,3690,13.2734
279,400,99380,19,3709,13.2939
280,400,99780,19,3728,13.3143
281,350,100130,16,3744,13.3238
282,400,100530,19,3763,13.344
283,400,100930,19,3782,13.364
