Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
1,1590,1590,38,38,38
2,920,2510,22,60,30
3,790,3300,19,79,26.3333
4,790,4090,19,98,24.5
5,810,4900,20,118,23.6
6,780,5680,18,136,22.6667
7,680,6360,17,153,21.8571
8,780,7140,18,171,21.375
9,780,7920,18,189,21
10,780,8700,18,207,20.7
11,660,9360,16,223,20.2727
12,680,10040,17,240,20
13,680,10720,17,257,19.7692
14,780,11500,18,275,19.6429
15,780,12280,18,293,19.5333
16,780,13060,18,311,19.4375
17,790,13850,19,330,19.4118
18,780,14630,18,348,19.3333
19,780,15410,18,366,19.2632
20,780,16190,18,384,19.2
21,680,16870,17,401,19.0952
22,680,17550,17,418,19
23,650,18200,15,433,18.8261
24,680,18880,17,450,18.75
25,550,19430,14,464,18.56
26,680,20110,17,481,18.5
27,780,20890,18,499,18.4815
28,790,21680,19,518,18.5
29,680,22360,17,535,18.4483
30,660,23020,16,551,18.3667
31,680,23700,17,568,18.3226
32,680,24380,17,585,18.2812
33,680,25060,17,602,18.2424
34,680,25740,17,619,18.2059
35,780,26520,18,637,18.2
36,680,27200,17,654,18.1667
37,680,27880,17,671,18.1351
38,660,28540,16,687,18.0789
39,650,29190,15,702,18
40,780,29970,18,720,18
41,660,30630,16,736,17.9512
42,550,31180,14,750,17.8571
43,550,31730,14,764,17.7674
44,650,32380,15,779,17.7045
45,780,33160,18,797,17.7111
46,530,33690,13,810,17.6087
47,790,34480,19,829,17.6383
48,660,35140,16,845,17.6042
49,650,35790,15,860,17.551
50,680,36470,17,877,17.54
51,550,37020,14,891,17.4706
52,530,37550,13,904,17.3846
53,780,38330,18,922,17.3962
54,530,38860,13,935,17.3148
55,550,39410,14,949,17.2545
56,550,39960,14,963,17.1964
57,420,40380,11,974,17.0877
58,650,41030,15,989,17.0517
59,550,41580,14,1003,17
60,400,41980,10,1013,16.8833
61,530,42510,13,1026,16.8197
62,530,43040,13,1039,16.7581
