x,y
0,7
1,10
2,10
3,10
4,10
5,10
6,11
7,10
8,8
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,8
17,9
18,9
19,9
20,8
21,9
22,8
23,8
24,8
25,8
26,8
27,5
28,8
29,8
30,8
31,7
32,7
33,7
34,7
35,7
36,10
37,6
38,7
39,7
40,7
41,6
42,8
43,6
44,6
45,6
46,4
47,4
48,6
49,6
50,6
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,4
60,7
61,4
62,4
63,6
64,4
65,7
66,4
67,4
68,3
69,3
70,3
71,3
72,3
73,3
74,1
75,3
76,0
77,2
78,2
79,2
80,2
81,2
82,2
83,3
84,2
85,1
86,1
87,2
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,3
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,3
107,0
108,1
109,1
110,1
111,1
112,1
113,4
114,1
115,1
116,2
117,2
118,2
119,2
120,1
121,2
122,2
123,5
124,2
125,6
126,3
127,3
128,3
129,1
130,3
131,3
132,3
133,4
134,4
135,4
136,4
137,2
138,4
139,2
140,7
141,4
142,5
143,5
144,2
145,2
146,5
147,5
148,5
149,5
150,8
151,6
152,3
153,7
154,6
155,6
156,6
157,6
158,6
159,6
160,7
161,7
162,7
163,7
164,8
165,7
166,7
167,7
168,7
169,7
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,7
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,11
195,10
196,10
197,10
198,7
199,10
200,10
201,11
202,10
203,13
204,11
205,10
206,10
207,10
208,10
209,10
210,10
211,11
212,11
213,11
214,11
215,11
216,11
217,11
218,12
219,11
220,11
221,9
222,11
223,11
224,11
225,8
226,11
227,11
228,9
229,11
230,11
231,11
232,11
233,8
234,13
235,11
236,11
237,11
238,11
239,13
240,11
241,14
242,11
243,11
244,11
245,11
246,11
247,11
248,11
249,10
250,12
251,11
252,11
253,9
254,11
255,11
256,11
257,11
258,11
259,11
260,11
261,8
262,11
263,11
264,9
265,11
266,11
267,11
268,14
269,11
